Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides,Thalassionema hirosakiensis,Stephanopyxis turris,Stephanopyxis spp.,Rouxia californica,Rhizosolenia styliformis,Rhizosolenia barboi,Rhabdonema japonicum,Paralia sulcata,Mediaria splendida,Hyalodiscus sp.,Grammatophora spp.,Denticulopsis praedimorpha,Denticulopsis lauta,Denticulopsis hustedtii,Coscinodiscus marginatus,Coscinodiscus elegans,Chaetoceros spp.,Aulacoseira granulata,Actinoptychus senarius,Actinocyclus ingens,Synedra jouseana var.,Synedra jouseana,Stephanogonia hanzawae,Rhizosolenia miocenica,Paralia clavigera,Goniothecium tenue,Diploneis nitescens,Denticulopsis praehyalina,Coscinodiscus symbolophorus,Cocconeis scutellum,Cocconeis pellucida,Rhaphoneis amphiceros,Plagiogramma staurophorum,Diploneis smithii,Denticulopsis hyalina,Actinocyclus ingens  var. nodus,Navicula lyra,Denticulopsis katayamae,Rhizosolenia hebetata,Odontella aurita,Diploneis fusca,Denticulopsis praekatayamae ,Coscinodiscus stellaris,Coscinodiscus oculus-iridis,Cocconeis placentula var. euglypta,Azpeitia endoi,Asteromphalus darwinii,Actinocyclus octonarius,Actinocyclus curvatulus,Thalassionema schraderi,Triceratium condecorum,Thalassiosira temperei,Pseudopodosira elegans,Porosira glacialis,Nitzschia sp. 1,Amphora sp.,Nitzschia rolandii,Thalassiosira antiqua,Hemidiscus cuneiformis,Cocconeis costata,Achnanthes groenlandica,Trochosira spinosa,Thalassiosira singularis,Nitzschia grunowii,Crucidenticula punctata,Asteromphalus robustus,Thalassiosira marujamica,Thalassiosira jacksonii,Neodenticula kamtschatica,Diploneis bombus,Cosmiodiscus insignis,Cocconeis pseudomarginatus,Cocconeis californica,Amphiprora sp.,Rhizosolenia setigera,Thalassiosira zabellinae,Thalassiosira gravida,Melosira albicans,Diploneis interrupta,Delphineis surirella,Delphineis angustata,Cymatosira debyi,Thalassiosira convexa,Pinnularia spp.,Thalassiosira trifulta,Thalassiosira nidulus,Actinocyclus ochotensis,Thalassiosira oestrupii,Nitzschia reinholdii,Nitzschia cylindrica,Coscinodiscus subtilis,Thalassiosira plicata,Bacillaria paradoxa,Thalassiothrix frauenfeldii,Achnanthes lanceolata,Thalassiosira eccentrica,Neodenticula koizumii,Actinocyclus oculatus,Thalassiosira manifesta,Coscinodiscus marginatus (girdles),Coscinodiscus radiatus,Chaetoceros spores,Thalassiosira leptopus,Thalassiosira pacifica,Rossiella tatsunokuchiensis,Denticulopsis dimorpha,Delphineis ischaboensis,Rouxia sp.,Thalassiosira lineata,Cyclotella striata,Cymatotheca weissflogii,Navicula directa,Melosira westii,Cyclotella styroleum,Coscinodiscus obscurus,Nitzschia punctata,Fragilaria construens,Azpeitia nodulifer,Diploneis oculata,Actinocyclus sp.,Thalassiosira sp. g,Neodenticula seminae,Thalassiosira nordenskioeldii,Nitzschia extincta,Cyclotella kutzingiana,Rhaphoneis elegans,Coscinodiscus vetustissimus,Trachyneis aspera,Rhizosolenia bergonii,Rhizosolenia curvirostris,Nitzschia sicula,Thalassionema bacillaris,Stephanodiscus astraea,Eunotia spp.,Diploneis ovalis,Pseudoeunotia doliolus,Calloneis bacillum,Bacterosira fragilis,Thalassiosira lacustris,Navicula spp.,Diploneis suborbicularis,Roperia tesselata,Rhizosolenia imbricata,Rhizosolenia alata,Nitzschia marina,Nitzschia braarudii,Navicula pygmaea,Diploneis weissflogi,Azpeitia tabularis,Asteromphalus flabellatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NPD 12            ,              ,127, 797,B,  1,H, 1,  13.00,      0.1300,Koizumi  ,Diatoms                                      ,               ,                  ,2                        ,9                                             ,38                         ,                           ,1                   ,                  ,                  ,3                       ,                   ,                    ,6              ,                  ,               ,                  ,                          ,                   ,                       ,12                      ,                     ,38              ,                     ,13                    ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,1                    ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,6                          ,                                  ,              ,                      ,6                      ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,2               ,                     ,                          ,                     ,              ,4                    ,                        ,                     ,                 ,                    ,3                   ,                    ,                ,                     ,               ,3                     ,                     ,                       ,9                      ,                    ,                    ,                      ,                     ,                   ,12                         ,1                    ,                        ,                     ,r1                   ,                       ,                                  ,12                    ,                  ,                      ,                      ,                           ,                      ,                       ,          ,2                    ,                  ,                       ,                ,               ,3                   ,                      ,                  ,                     ,3                 ,4                ,                ,                   ,3                   ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,14                      ,                      ,            ,                ,6                     ,                  ,                    ,                       ,             ,                        ,1                ,2                     ,1                 ,1               ,8                  ,1               ,3                   ,4                 ,1                        ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NPD 12            ,              ,127, 797,B,  2,H, 1,  44.00,      6.3400,Koizumi  ,Diatoms                                      ,               ,                  ,2                        ,2                                             ,42                         ,                           ,7                   ,                  ,                  ,1                       ,                   ,                    ,27             ,                  ,               ,1                 ,                          ,                   ,                       ,5                       ,                     ,305             ,                     ,3                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,1                    ,                         ,2                ,                     ,                               ,1            ,                       ,21                   ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,5                      ,3                      ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,3               ,                     ,                          ,                     ,              ,2                    ,                        ,1                    ,                 ,                    ,12                  ,                    ,                ,                     ,               ,13                    ,                     ,                       ,2                      ,                    ,                    ,                      ,                     ,                   ,7                          ,                     ,7                       ,                     ,                     ,                       ,                                  ,4                     ,                  ,                      ,                      ,                           ,                      ,                       ,          ,1                    ,4                 ,                       ,                ,               ,1                   ,                      ,                  ,                     ,                  ,4                ,                ,                   ,6                   ,                             ,                  ,                      ,                  ,                           ,2                ,                     ,                         ,                ,2                       ,1                     ,            ,                ,2                     ,                  ,                    ,1                      ,1            ,1                       ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NPD 12            ,              ,127, 797,B,  2,H, 5, 102.00,     12.9200,Koizumi  ,Diatoms                                      ,               ,                  ,2                        ,                                              ,36                         ,                           ,13                  ,                  ,                  ,1                       ,                   ,                    ,27             ,                  ,               ,1                 ,                          ,                   ,                       ,3                       ,                     ,26              ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,1                    ,                         ,1                ,                     ,                               ,             ,                       ,63                   ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,1                      ,1                      ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,3               ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,1                   ,4                   ,                    ,                ,                     ,               ,13                    ,                     ,                       ,4                      ,                    ,                    ,                      ,                     ,                   ,3                          ,                     ,1                       ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,1                    ,                  ,                       ,                ,               ,1                   ,                      ,                  ,                     ,                  ,5                ,                ,                   ,12                  ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,1                   ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,R. curvirostris   ,              ,127, 797,B,  3,H, 3,  14.00,     18.5400,Koizumi  ,Diatoms                                      ,               ,                  ,2                        ,                                              ,21                         ,                           ,                    ,                  ,                  ,                        ,                   ,                    ,33             ,                  ,               ,                  ,                          ,                   ,                       ,3                       ,                     ,25              ,1                    ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,1                    ,                         ,                 ,                     ,                               ,             ,                       ,3                    ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,1                      ,3                      ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,1               ,                     ,                          ,                     ,              ,2                    ,                        ,                     ,                 ,                    ,4                   ,                    ,                ,                     ,               ,7                     ,                     ,                       ,1                      ,                    ,                    ,                      ,                     ,                   ,1                          ,                     ,                        ,                     ,                     ,                       ,                                  ,4                     ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,1               ,               ,1                   ,1                     ,                  ,                     ,                  ,                 ,                ,                   ,2                   ,                             ,                  ,                      ,                  ,                           ,1                ,                     ,15                       ,                ,1                       ,1                     ,            ,                ,1                     ,1                 ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
