Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina connecta	Zeaglobigerina woodi	Tenuitella minutissima	Zeaglobigerina druryi	Neogloboquadrina continuosa	Globigerinoides trilobus	Globigerinoides sicanus	Globigerinoides ruber	Globigerinoides quadrilobatus	Fohsella peripheroronda	Tenuitellinata juvenilis	Neogloboquadrina nympha	Globorotaloides suteri	Globoquadrina dehiscens	Praeorbulina glomerosa	Orbulina suturalis	Globorotalia conica	Subbotina angiporoides	Globorotalia sp. cf. juanai	Globoconella conoidea	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Globorotalia puncticulata	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia tosaensis	Globorotalia inflata	Globorotalia crassaformis	Globorotalia crassula	Globigerina falconensis	Globorotalia truncatulinoides	Globorotalia sp. cf. tosaensis	Globigerinella siphonifera	Neogloboquadrina dutertrei	Zeaglobigerina rubescens	Globorotalia scitula	Globigerinella obesa	Globorotalia ungulata	Globorotalia tumida	Globigerinoides tenellus	Globorotalia hirsuta	Comment



  IR	Pleistocene      	Holocene         	                  	Pt1b          	182	1131	A	  1	H	CC	  16.00	      3.3600	Li       	Planktonic Foraminifers                      	C              	VG                	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	F                      	P                    	                         	P                	P                                    	                      	A                   	                         	                     	F                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	Pleistocene      	Holocene         	                  	Pt1b          	182	1131	A	  2	H	CC	  12.00	     11.9100	Li       	Planktonic Foraminifers                      	C              	VG                	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	F                      	P                    	                         	P                	P                                    	                      	A                   	                         	                     	F                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	P                   	reworked subconomiozea

  IR	Pleistocene      	Holocene         	                  	Pt1b          	182	1131	A	  3	H	CC	  10.00	     22.4300	Li       	Planktonic Foraminifers                      	C              	G                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	F                      	F                    	                         	P                	P                                    	                      	F                   	                         	                     	F                      	F                            	                              	                          	                          	                        	                    	                    	                     	                   	P                       	                    	       

  IR	Pleistocene      	Holocene         	                  	Pt1b          	182	1131	A	  4	H	CC	   0.00	     32.0600	Li       	Planktonic Foraminifers                      	C              	G                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	F                      	P                    	                         	P                	P                                    	                      	A                   	                         	                     	F                      	F                            	                              	                          	                          	                        	P                   	                    	                     	                   	P                       	P                   	some relict

