Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilica	Cyclicargolithus floridanus	Sphenolithus spp.	Triquetrorhabdulus rugosus	Discoaster kugleri	Calcidiscus macintyrei	Catinaster coalitus	Discoaster quinqueramus	Discoaster brouweri	Discoaster berggrenii	Discoaster pentaradiatus	Discoaster surculus	Amaurolithus tricorniculatus	Discoaster asymmetricus	Ceratolithus rugosus	Pseudoemiliania lacunosa	Discoaster tamalis	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Gephyrocapsa sp. (large)	Reticulofenestra asanoi	Comment



  SR	Pleistocene      	                 	NN20              	              	131	 808	C	  1	R	 2	  21.00	    300.2100	Olafsson 	Nannofossils                                 	A              	G                 	                          	                               	                           	                 	                          	                  	                      	                   	                       	                   	                     	                        	                   	                            	                       	                    	                        	                  	                    	A                    	                         	                        	                       	from 131SR. Chapter 1. Table 1. page 7.

  SR	Pleistocene      	                 	NN20              	              	131	 808	C	  2	R	CC	  12.00	    308.8500	Olafsson 	Nannofossils                                 	A              	G                 	                          	                               	                           	                 	                          	                  	                      	                   	                       	                   	                     	                        	                   	                            	                       	                    	                        	                  	                    	C                    	F                        	                        	                       	from 131SR. Chapter 1. Table 1. page 7.

  SR	Pleistocene      	                 	NN20              	              	131	 808	C	  3	R	CC	   0.00	    318.7700	Olafsson 	Nannofossils                                 	F              	M                 	                          	                               	                           	                 	                          	                  	                      	                   	                       	                   	                     	                        	                   	                            	                       	                    	                        	                  	                    	F                    	                         	                        	                       	from 131SR. Chapter 1. Table 1. page 7.

  SR	Pleistocene      	                 	NN20              	              	131	 808	C	  4	R	 2	  18.00	    328.8800	Olafsson 	Nannofossils                                 	F              	M                 	                          	                               	                           	                 	                          	                  	                      	                   	                       	                   	                     	                        	                   	                            	                       	                    	                        	                  	                    	F                    	                         	                        	                       	from 131SR. Chapter 1. Table 1. page 7.

  SR	Pleistocene      	                 	NN20              	              	131	 808	C	  4	R	CC	  17.00	    329.4400	Olafsson 	Nannofossils                                 	C              	G                 	                          	                               	                           	                 	                          	                  	                      	                   	                       	                   	                     	                        	                   	                            	                       	                    	                        	                  	                    	C                    	                         	                        	                       	from 131SR. Chapter 1. Table 1. page 7.

  SR	Pleistocene      	                 	NN20              	              	131	 808	C	  8	R	CC	   0.00	    368.8100	Olafsson 	Nannofossils                                 	C              	M                 	                          	                               	                           	                 	                          	                  	                      	                   	                       	                   	                     	                        	                   	                            	                       	                    	                        	                  	                    	C                    	R                        	                        	                       	from 131SR. Chapter 1. Table 1. page 7.

  SR	Pleistocene      	                 	NN20              	              	131	 808	C	  9	R	CC	   0.00	    376.9200	Olafsson 	Nannofossils                                 	F              	M                 	                          	                               	                           	                 	                          	                  	                      	                   	                       	                   	                     	                        	                   	                            	                       	                    	                        	                  	                    	F                    	                         	                        	                       	from 131SR. Chapter 1. Table 1. page 7.

