leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
75,530,A,3,CC,0.0,144.00,144.10,  144.10,"DEAN, W.",SEDIMENTNANNOFOSSIL OOZE,,,,,,,,,,,
75,530,A,3,CC,8.0,144.00,144.08,  144.10,"DEAN, W.",BASALTPEBBLES,PCE 1 (8-10),,,,BASALT PEBBLES AT BASE OF NANNOFOSSIL OOZE,,,,,,
75,530,A,23,1,0.0,334.00,334.00,  334.20,"STOW, D.",VOLCANIC BRECCIA,,"BRECCIA, VARIETY OF VOLCANIC GLASSES","THE MATRIX: SPARRY CALCITE CEMENT WITH GOOD CRYSTAL GROWTH INTO VOIDS, MICRITIC CEMENT(REPLACING GLASS ?)","comments: VOLCANIC GLASSES SHOW ALTERATION, MICRITIC CEMENT COULD BE REPLACING VOLCANIC GLASS AND INCLUDES FORAMS AND RARE SHELL DEBRIS","VOLCANIC BRECCIA MIXED WITH CLAYS, CLASTS CONSIST OF A BASALT FRAGMENT(VESICULAR, PHENOCRYSTS, GLASSY RIMS), AND A LARGE CRYSTALLINE FELDSPAR FRAGMENT AND A DOLOMITIC CLAST, POORLY SORTED VOLCANIC BRECCIA",,,,,,
