Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella planispira,Hedbergella delrioensis,Globigerinelloides bentonensis,Favusella washitensis,Heterohelix moremani,Heterohelix reussi,Globigerinelloides caseyi,Whiteinella baltica,Heterohelix globulosa,Hastigerinoides watersi,Hedbergella amabilis,Costellagerina libyca,Whiteinella inornata,Dicarinella imbricata,Hastigerinoides subdigitata,Clavihedbergella simplex,Globotruncanita stuarti,Globotruncanella havanensis,Globotruncana esnehensis,Globotruncana arca,Globotruncana aegyptiaca,Contusotruncana fornicata,Archaeoglobigerina cretacea,Rugotruncana subcircumnodifer,Rugoglobigerina rugosa,Pseudoguembelina costulata,Globigerinelloides prairiehillensis,Laeviheterohelix glabrans,Globotruncana linneiana,Archaeoglobigerina blowi,Globotruncana ventricosa,Rugoglobigerina pennyi,Gansserina gansseri,Contusotruncana plummerae,Subbotina velascoensis,Subbotina triloculinoides,Subbotina triangularis,Morozovella velascoensis,Morozovella occlusa,Morozovella apanthesma,Morozovella aequa,Morozovella acuta,Globanomalina pseudomenardii,Chiloguembelina wilcoxensis,Acarinina mckannai,Acarinina nitida,Acarinina soldadoensis,Acarinina coalingensis,Subbotina patagonica,Morozovella subbotinae,Morozovella edgari,Globanomalina planoconica,Pseudohastigerina micra,Planorotalites pseudoscitulus,Acarinina esnaensis,Turborotalia pseudomayeri,Morozovella gracilis,Acarinina wilcoxensis,Subbotina frontosa,Muricoglobigerina senni,Morozovella spinulosa,Morozovella aragonensis,Igorina broedermanni,Acarinina rohri,Acarinina bullbrooki,Turborotalia pomeroli,Globigerinatheka tropicalis,Globigerinatheka mexicana,Acarinina praetopilensis,Turborotalia cerroazulensis,Turborotalia pseudoampliapertura,Turborotalia increbescens,Subbotina linaperta,Subbotina gortanii,Hantkenina alabamensis,Globorotaloides suteri,Globigerina yeguaensis,Globigerina pseudovenezuelana,Catapsydrax unicavus,Catapsydrax dissimilis,Turborotalia ampliapertura,Globigerina euapertura,Dentoglobigerina galavisi,Chiloguembelina cubensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  1,R, 1,   0.00,     40.0000,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,P                     ,                      ,                             ,P                   ,P                     ,P                         ,P                     ,P                        ,P                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  1,R, 2,  47.00,     41.9700,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,P                      ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,P                    ,                           ,                         ,                        ,P                          ,P                               ,P                        ,P                  ,P                 ,P                     ,P                     ,P                     ,P                            ,P                   ,P                     ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  1,R, 3,  74.00,     43.7400,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,P              ,                    ,P                    ,                           ,                         ,                        ,P                          ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  2,R,CC,  14.00,     49.3500,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,P                      ,P                    ,                       ,                    ,P              ,                    ,P                    ,P                          ,P                        ,P                       ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
