Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Styliola subula,Clio pyramidata,Peraclis sp.,Limacina inflata,Hyalocylis striata,Diacria trispinosa,Diacria quadridentata,Creseis acicula,Clio convexa,Cavolinia inflexa,Cavilinia tridentata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 830,A,  1,H, 2,  65.00,      2.1500,Glacon   ,Pteropods                                    ,               ,                  ,36             ,               ,            ,2               ,                  ,1                 ,3                    ,2              ,            ,2                ,                    ,from ODP Leg 134 Chpater 15 Table 3 p 324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 830,A,  1,H, 2, 111.00,      2.6100,Glacon   ,Pteropods                                    ,               ,                  ,33             ,               ,            ,                ,                  ,2                 ,                     ,1              ,            ,                 ,                    ,from ODP Leg 134 Chpater 15 Table 3 p 324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 830,A,  1,H, 5,  49.00,      6.4900,Glacon   ,Pteropods                                    ,               ,                  ,42             ,               ,            ,                ,1                 ,2                 ,                     ,               ,            ,                 ,                    ,from ODP Leg 134 Chpater 15 Table 3 p 324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 830,A,  2,H, 1, 103.00,      8.0300,Glacon   ,Pteropods                                    ,               ,                  ,5              ,               ,            ,                ,                  ,                  ,                     ,               ,            ,                 ,                    ,from ODP Leg 134 Chpater 15 Table 3 p 324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 830,A,  2,H, 2,   2.00,      8.5200,Glacon   ,Pteropods                                    ,               ,                  ,110            ,1              ,1           ,2               ,1                 ,1                 ,2                    ,2              ,1           ,3                ,2                   ,from ODP Leg 134 Chpater 15 Table 3 p 324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 830,A,  2,H, 5,  95.00,     13.9500,Glacon   ,Pteropods                                    ,               ,                  ,8              ,1              ,            ,                ,                  ,                  ,                     ,               ,            ,                 ,                    ,from ODP Leg 134 Chpater 15 Table 3 p 324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
