Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa oceanica,Coccolithus pelagicus,Calcidiscus leptoporus,Umbilicosphaera sibogae,Reticulofenestra minutula,Pseudoemiliania lacunosa,Ceratolithus cristatus,Thoracosphaera heimii,Gephyrocapsa omega,Ceratolithus telesmus,Discoaster brouweri,Rhabdosphaera clavigera,Gephyrocapsa caribbeanica,Emiliania huxleyi,Sphenolithus abies,Scapholithus fossilis,Discoaster variabilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN21,180,1111,A,2,R,CC,6.00,10.1600,Siesser,Nannofossils,A,G,,F,A,,F,R,,,R,,R,,,,,C,r,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN21,180,1111,A,3,R,CC,14.00,19.8400,Siesser,Nannofossils,A,G,,F,C,,F,R,C,,,,R,,,,,C,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,NN20,NN21,180,1111,A,4,R,CC,18.00,29.3800,Siesser,Nannofossils,A,G,,F,C,,F,R,C,r,,,R,R,,,R,F,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19F,180,1111,A,6,R,CC,8.00,48.4800,Siesser,Nannofossils,A,G,,F,C,,R,F,C,R,,R,,,,R,,cR,r,R,r,Ascidians - R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19F,180,1111,A,7,R,CC,16.00,58.2600,Siesser,Nannofossils,C,G,,F,C,,F,F,C,R,,,R,,r,,,c,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,NN19E,NN19F,180,1111,A,8,R,CC,18.00,71.8500,Siesser,Nannofossils,C,M,,F,C,,F,F,C,R,R,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19F,180,1111,A,10,R,CC,13.00,87.1300,Siesser,Nannofossils,A,P,,F,C,,F,,C,R,R,R,R,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19C/D,180,1111,A,11,R,CC,16.00,97.3300,Takahashi,Nannofossils,A,G,R,F,A,,C,,,R,,,,,rR,,,,,,,Two D. brouweri are reworked. because (1) their preservation is poor and (2) no C. macintyrei found.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19,180,1111,A,12,R,CC,1.00,106.4100,Takahashi,Nannofossils,C,M,,R,C,,R,,,R,,,,,,,R,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19F,180,1111,A,13,R,1,91.00,117.0100,Siesser,Nannofossils,A,M,,F,A,,F,F,A,F,R,,R,,,R,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19C/D,180,1111,A,13,R,CC,12.00,118.2300,Takahashi,Nannofossils,C,M,F,F,C,,C,,,R,,,,,rR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19C/D,180,1111,A,14,R,CC,5.00,129.8600,Takahashi,Nannofossils,A,G,F,C,A,,C,,,R,,,,,rR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19F,180,1111,A,15,R,1,51.00,135.9100,Siesser,Nannofossils,A,M,,F,C,,F,F,,F,,R,R,R,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19C/D,180,1111,A,15,R,CC,11.00,136.4700,Takahashi,Nannofossils,A,G,F,C,A,,C,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,NN19E,NN19F,180,1111,A,16,R,1,27.00,145.2700,Siesser,Nannofossils,C,M,,F,C,,F,F,C,F,R,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN19C/D,180,1111,A,16,R,1,56.00,145.5600,Takahashi,Nannofossils,C,M,F,F,C,R,F,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
