leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
23,224,,11,2,145.0,783.00,785.95,  786.00,"JIP, D.",BASALT,PCE NO PCE NUMBERS ASSIGNED,,CALCITE VEINS IN BASALT,,BLACK IN COLOR | FOR MORE INFORMATION REFER TO LITHOLOGY SUMMARY IN THE SITE 223 CHAPTER OF INITIAL REPORTS,,,,,,
23,224,,11,CC,0.0,783.00,786.10,  786.10,,BASALT,PCE NO PCE NUMBERS ASSIGNED,,APPROXIMATELY 3% CALCITE VEINS,,"AS IN SECTION 2, LESS PINKISH BASALT | FOR MORE INFORMATION REFER TO LITHOLOGY SUMMARY IN THE SITE 224 CHAPTER OF THE INITIAL REPORTS",,,,CALCITE,,
