Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Neococcolithes minutus,Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cribrocentrum reticulatum,Chiasmolithus grandis,Markalius inversus,Coccolithus eopelagicus,Chiasmolithus consuetus,Neococcolithes dubius,Ericsonia formosa,Chiasmolithus oamaruensis,Chiasmolithus gigas,Sphenolithus radians,Sphenolithus pseudoradians,Zygrhablithus bijugatus,Isthmolithus recurvus,Pemma papillatum,Discoaster sublodoensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1053,B,  1,H,CC,  12.00,      3.8700,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                      ,+                     ,                       ,+                      ,                         ,                     ,                  ,                       ,                       ,                     ,                 ,+                        ,                   ,                    ,                          ,                       ,                     ,+               ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1053,B,  2,H,CC,  15.00,     13.8400,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                      ,+                     ,+                      ,+                      ,                         ,                     ,                  ,                       ,                       ,                     ,                 ,                         ,                   ,                    ,                          ,                       ,+                    ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1053,B,  3,H,CC,  25.00,     23.2600,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                      ,+                     ,+                      ,+                      ,                         ,                     ,                  ,                       ,                       ,                     ,                 ,+                        ,                   ,                    ,                          ,                       ,+                    ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1053,B,  4,H,CC,   7.00,     32.7100,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                      ,+                     ,+                      ,+                      ,                         ,                     ,                  ,                       ,                       ,                     ,                 ,                         ,                   ,                    ,                          ,                       ,+                    ,+               ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1053,B,  5,H,CC,  19.00,     42.2700,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                      ,                      ,+                      ,+                      ,+                        ,                     ,                  ,                       ,                       ,                     ,                 ,+                        ,                   ,                    ,                          ,                       ,+                    ,+               ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
