Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys wolffii,Spongaster tetras,Pterocanium prismatium,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Theocalyptra davisiana,Anthocyrtidium angulare,Pterocorys minythorax,Theocorythium trachelium trachelium,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 854,B,  1,H, 1, 110.00,      1.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                     ,-                     ,                   ,R                ,                      ,                           ,                        ,                       ,R                    ,R                     ,                       ,R                    ,R                                  ,R                     ,R                    ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 854,B,  1,H, 2, 110.00,      2.6000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                     ,-                     ,                   ,R                ,                      ,                           ,                        ,                       ,R                    ,R                     ,                       ,R                    ,R                                  ,R                     ,R                    ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 854,B,  1,H, 3,  40.00,      3.4000,Moore    ,Radiolarians                                 ,C              ,M                 ,                     ,R                     ,                   ,R                ,                      ,                           ,                        ,                       ,R                    ,R                     ,                       ,R                    ,R                                  ,R                     ,-                    ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 854,B,  1,H, 3, 110.00,      4.1000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                     ,R                     ,                   ,R                ,                      ,-                          ,                        ,                       ,R                    ,R                     ,                       ,R                    ,R                                  ,R                     ,-                    ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. ypsilon        ,              ,138, 854,B,  1,H, 4, 110.00,      5.6000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,                     ,R                     ,                   ,R                ,                      ,R                          ,                        ,                       ,R                    ,R                     ,                       ,R                    ,R                                  ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
