Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra hesslandii,Cyclicargolithus floridanus,Reticulofenestra spp.,Coronocyclus nitescens,Thoracosphaera spp.,Reticulofenestra minutula,Pyrocyclus spp.,Coccolithus pelagicus,Sphenolithus sp. cf S. abies,Reticulofenestra samodurovii,Reticulofenestra perplexa,Reticulofenestra daviesii,Helicosphaera carteri,Dictyococcites bisectus,Cyclicargolithus abisectus,Chiasmolithus sp.,Reticulofenestra producta,Sphenolithus abies,Reticulofenestra pseudoumbilicus,Reticulofenestra gelida,Minylitha convallis,Discoaster sp. cf. D. variabilis,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Gephyrocapsa sp.,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pliocene         ,CN14a             ,CN12          ,188,1165,B,  1,H,CC,  15.00,      6.8100,paleo    ,Nannofossils                                 ,C              ,M                 ,                           ,                           ,R                    ,                      ,                   ,                         ,               ,C                    ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,R                      ,                   ,                                ,R                     ,                        ,F               ,                         ,Questionable P. lacunosa (small oval specimen); Gephyrocapsa w/o bar (dissolved?); medium R. gelida
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B,  2,H, 1,  95.00,      7.7500,paleo    ,Nannofossils                                 ,C              ,M                 ,                           ,                           ,                     ,                      ,                   ,                         ,               ,C                    ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,R                     ,                        ,F               ,C                        ,Good G. caribbeanica;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B,  2,H, 2,  95.00,      9.2500,paleo    ,Nannofossils                                 ,C              ,M                 ,                           ,                           ,                     ,                      ,                   ,                         ,               ,C                    ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,F                        ,                  ,                                ,                       ,                   ,                                ,R                     ,F                       ,F               ,C                        ,Small P. lacs; R. producta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,CN9               ,CN8           ,188,1165,B, 14,H,CC,  34.00,    124.5100,paleo    ,Nannofossils                                 ,A              ,M                 ,                           ,                           ,cC                   ,                      ,                   ,F                        ,               ,cC                   ,                            ,                            ,A                        ,                         ,                     ,                       ,                          ,                 ,A                        ,R                 ,R                               ,R                      ,R                  ,R                               ,rR                    ,                        ,                ,                         ,"l. Miocene   M. convallis! (CN8-9), ~7-9.4 Ma"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
