Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trochammina sp.,Stilostomella spp.,Nodosaria spp.,Virgulina sp.,Stilostomella abyssorum,Sphaeroidina bulloides,Reophax dentaliniformis,Pullenia sp.,Pullenia bulloides,Pleurostomella alternans,Oridorsalis umbonatus,Laticarinina pauperata,Gyroidinoides laevigatus,Globocassidulina subglobosa,Cibicidoides subhaidingeri,Cibicidoides robertsonianus,Pullenia subcarinata,Epistominella vitrea,Quinqueloculina seminulum,Pyrulina spp.,Pyrgo spp.,Pullenia osloensis,Pullenia multilobata,Oolina spp.,Lagena spp.,Hanzawaia mantaensis,Globocassidulina sp.,Fissurina spp.,Eponides cf. weddellensis,Eggerella bradyi,Cibicidoides mundulus,Bathysiphon spp.,Anomalinoides ammophila,Ammosphaeroidina sphaeroidiniformis,Pullenia salisburyi,Psammosphaera fusca,Hanzawaia ammophila,Dentalina spp.,Cancris nuttalli,Cyclammina incisa,Melonis pompilioides,Lenticulina spp.,Karreriella bradyi,Gyroidina sp.,Gyroidina soldanii,Guttulina sp.,Globocassidulina crassa,Epistominella exigua,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B,  1,H,CC,  15.00,      6.8100,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,R                 ,                        ,R                    ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,R               ,                       ,                                   ,                   ,                   ,                   ,              ,                ,R                ,                    ,                ,                  ,             ,                  ,             ,                       ,R                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B,  2,H,CC,   0.00,     16.4800,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,R                    ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B,  5,H,CC,  21.00,     44.0800,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,R                ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 11,H,CC,  36.00,    100.3200,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,+                     ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
