Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Velicucullus sp.,Stylotrochus nitidus,Stylosphaera spinulosa,Stylosphaera minor,Stylosphaera coronata,Stylatractus sp.,Spongomelissa cucumella,Spongodiscus cruciferus,Siphocampe pachyderma,Siphocampe imbricata,Periphaena heliasteriscus,Lychnocanoma tripodium,Lophophaenoma radians,Lophocyrtis jacchia,Lophocyrtis dumitricai,Hexalonche sp.,Dictyoprora amphora,Cornutella sp.,Clathrocyclas aurelia,Cenosphaera oceanica,Axoprunum sp.,Axoprunum pierinae,Artobotrys auriculaleporis,Anthocyrtella mespilus,Amphymenium splendiarmatum,Amphicraspedum prolixum,Stylodictya targaeformis,Spongodiscus rhabdostylus,Spongodiscus americanus,Siphocampe(?) quadrata,Lychnocanoma bellum,Lychnocanoma babylonis,Lithapium sp.,Eurystomoskevos petrushevskayaae,Ceratocyrtis sp.,Carposphaera subbotinae,Lychnocanoma sp.,Periphaena decora,Lychnocanoma amphitrite,Amphipternis clava,Tripilidium clavipes,Stylodictya tainemplekta,Rhabdolithis pipa,Pterocorys (all generic taxa),Artobotrys biaurita,Heliostylus sp.,Dorcadospyris argisca,Dictyophimus pocillum,Anthocyrtella spatiosa,Stylodictya hastata,Botryostrobus joides,Botryopera sp.,Pseudodictyophimus galeatus,Dictyophimus(?) callosus,Calocyclas semipolita,Dictyophimus(?) archipilium,Lophocyrtis longiventer,Thyrsocyrtis bromia,Mitrocalpis sp.,Lithomelissa haeckeli,Eucyrtidium sp. aff. Eucyrtidium montiparum,Clathrocyclas universa nova,Astrophacus inca,Amphisphaera sp.,Actinomma kerguelenensis,Theocorys sp.,Lithomelissa ehrenbergi,Ceratocyrtis histricosa,Botryostrobus kerguelensis,Spongomelissa sp.,Pteropilium contiguum,Prunopyle trypopyrena,Prunopyle frakesi,Lithomelissa robusta,Botryostrobus rednosus,Rhizosphaera antarctica,Prunopyle polyacantha,Prunopyle hayesi,Lithomelissa sphaerocephalis,Lithelius aff. Lithelius formanae,Calocyclas asperum,Perichlamydium praetextum,Cymaetron sinolampas,Cycladophora cabrilloensis subhumerus,Eucyrtidium antiquum,Lithomelissa dupliphysa,Cycladophora conica,Ceratocyrtis mashae,Prunopyle monikae,Archipilium sp.,Theocyrtis diabloensis,Eucyrtidium (?) mariae,Ceratocyrtis stigi,Artophormis sp.,Stylosphaera hispida,Stylodictya ocellata,Lithomelissa cheni,Lithomelissa challengerae,Dictyoprora physothorax,Antarctissa sp.,Eucyrtidium teuscheri,Cycladophora campanula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 738,B,  3,H, 4,  53.00,     18.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,                      ,                  ,                     ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,                    ,             ,                  ,                          ,                      ,R                         ,                       ,R                       ,                         ,                       ,                      ,T                  ,                      ,             ,F                               ,                ,                       ,                ,F                ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,T                          ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,F               ,R                       ,             ,                       ,R                      ,                          ,R                ,T                    ,R                    ,R                ,R                   ,                      ,A                      ,C                    ,R               ,C                           ,T                                ,A                 ,R                        ,R                   ,                                     ,F                   ,T                      ,                   ,R                  ,R                ,               ,F                     ,F                     ,T                 ,R              ,?                   ,R                   ,                  ,R                        ,A                      ,R              ,T                    ,?                     ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  3,H, 5,  53.00,     20.0300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,                      ,                  ,T                    ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,R                   ,             ,                  ,                          ,                      ,R                         ,                       ,F                       ,                         ,                       ,                      ,                   ,                      ,             ,C                               ,                ,                       ,                ,F                ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,F                       ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,C               ,R                       ,             ,T                      ,R                      ,                          ,R                ,                     ,R                    ,R                ,R                   ,                      ,C                      ,C                    ,F               ,C                           ,R                                ,A                 ,R                        ,R                   ,                                     ,C                   ,T                      ,                   ,R                  ,F                ,               ,F                     ,F                     ,                  ,T              ,T                   ,                    ,                  ,T                        ,C                      ,T              ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  3,H, 6,  53.00,     21.5300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                ,                    ,                      ,                  ,T                    ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,                    ,             ,                  ,                          ,                      ,R                         ,                       ,R                       ,                         ,                       ,                      ,                   ,                      ,             ,                                ,                ,                       ,                ,R                ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,R                       ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,A               ,                        ,             ,                       ,R                      ,                          ,                 ,                     ,                     ,                 ,                    ,T                     ,                       ,                     ,                ,F                           ,                                 ,A                 ,                         ,                    ,T                                    ,F                   ,                       ,                   ,T                  ,                 ,               ,                      ,                      ,                  ,               ,R                   ,T                   ,T                 ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  4,H, 1,  53.00,     23.5300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                ,                    ,                      ,                  ,                     ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,                    ,             ,                  ,                          ,                      ,                          ,                       ,R                       ,                         ,                       ,                      ,T                  ,                      ,             ,R                               ,                ,                       ,                ,                 ,                       ,                  ,T                   ,T                       ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,T                          ,R                       ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,A               ,                        ,             ,                       ,R                      ,                          ,                 ,                     ,                     ,T                ,                    ,T                     ,                       ,R                    ,T               ,R                           ,                                 ,A                 ,                         ,R                   ,T                                    ,C                   ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
