Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nonionella bradyi,Nonion spp.,Globocassidulina subglobosa,Eponides pusillus,Elphidium spp.,Fursenkoina fusiformis,Cassidulinoides parkerianus,Cassidulinoides porrectus,Globocassidulina biora,Epistominella exigua,Ehrenbergina bradyi,Dentalina spp.,Lenticulina spp.,Buccella frigida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 18,R,CC,  10.00,    141.2100,Osterman ,Benthic Foraminifers                         ,R              ,P                 ,                 ,           ,                           ,                 ,              ,                      ,r                          ,                         ,r                     ,                    ,                   ,              ,                ,r               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 19,R,CC,   6.00,    151.0800,Osterman ,Benthic Foraminifers                         ,R              ,M                 ,                 ,           ,                           ,                 ,              ,                      ,                           ,                         ,R                     ,                    ,                   ,R             ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 24,R,CC,  18.00,    188.6800,Osterman ,Benthic Foraminifers                         ,R              ,G                 ,                 ,           ,                           ,                 ,              ,                      ,                           ,                         ,R                     ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 26,R,CC,  22.00,    208.9100,Osterman ,Benthic Foraminifers                         ,R              ,M                 ,                 ,           ,                           ,                 ,              ,                      ,                           ,R                        ,R                     ,                    ,                   ,              ,R               ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 32,R,CC,  26.00,    265.5600,Osterman ,Benthic Foraminifers                         ,R              ,P                 ,                 ,           ,                           ,                 ,              ,                      ,                           ,                         ,R                     ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 35,R,CC,  24.00,    296.2000,Osterman ,Benthic Foraminifers                         ,T              ,P                 ,                 ,           ,                           ,                 ,              ,                      ,R                          ,                         ,                      ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 36,R,CC,  20.00,    308.7900,Osterman ,Benthic Foraminifers                         ,F              ,M                 ,                 ,R          ,                           ,                 ,              ,R                     ,R                          ,                         ,R                     ,R                   ,R                  ,R             ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 40,R,CC,  21.00,    343.7800,Osterman ,Benthic Foraminifers                         ,R              ,P                 ,                 ,           ,                           ,                 ,              ,                      ,T                          ,                         ,                      ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 42,R,CC,   5.00,    353.9700,Osterman ,Benthic Foraminifers                         ,T              ,M                 ,                 ,           ,T                          ,                 ,              ,                      ,                           ,                         ,                      ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 44,R,CC,  21.00,    365.3900,Osterman ,Benthic Foraminifers                         ,R              ,M                 ,                 ,           ,R                          ,                 ,              ,                      ,R                          ,                         ,                      ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 45,R,CC,  12.00,    373.5900,Osterman ,Benthic Foraminifers                         ,R              ,M                 ,                 ,           ,R                          ,                 ,              ,                      ,                           ,R                        ,                      ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 46,R,CC,  10.00,    382.7200,Osterman ,Benthic Foraminifers                         ,R              ,M                 ,                 ,R          ,R                          ,                 ,              ,R                     ,C                          ,                         ,                      ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 48,R,CC,  10.00,    401.2200,Osterman ,Benthic Foraminifers                         ,R              ,P                 ,                 ,           ,R                          ,                 ,              ,                      ,                           ,                         ,                      ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 50,R,CC,  10.00,    419.8200,Osterman ,Benthic Foraminifers                         ,R              ,P                 ,R                ,R          ,R                          ,R                ,R             ,                      ,                           ,                         ,                      ,                    ,                   ,              ,                ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
