Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Unilocular species,Tosaia hanzawai,Siphotextularia catenata,Pullenia zaandamae,Pullenia sp.,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Oridorsalis tenera,Nuttallides umbonifera,Nonionella sp.,Miliolid taxa,Melonis pompilioides,Melonis barleeanus,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Gyroidina spp.,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Alabaminella weddellensis,Sphaeroidina bulloides,Schackoinella sp.,Ehrenbergina sp.,Cibicides  bradyi,Cassidulina spp.,Bolivina pacifica,Pyrgo sp.,Pullenia quinqueloba,Pyrgo murrhina,Laticarinina pauperata,Gyroidinoides neosoldanii,Gyroidina regularis,Discorbinella bertheloti,Astrononion echolsi,Cibicidoides kullenbergi,Miliolid taxa (thin-walled),Gyroidina orbicularis,Bulimina sp. A,Bolivina spp.,Abditodentrix pseudothalmanni,Anomalinoides globulosus,Stainforthia fusiformis,Planulina sp.,Uvigerina hispida,Bulimina alazanensis,Pullenia bulloides,Uvigerina peregrina,Pseudoparrella sp.,Cibicidoides sp.,Cibicidoides robertsonianus,Chilostomella oolina,Cibicides lobatulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  1,H, 1,  60.00,      0.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,10                ,               ,7                       ,                  ,2           ,4                 ,                  ,11                   ,1                 ,26                    ,              ,2            ,1                   ,                  ,26               ,6                         ,                  ,              ,24                         ,                   ,22                  ,4                         ,6                    ,52                       ,                      ,                 ,                ,                 ,                ,                 ,         ,7                   ,1             ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,3             ,             ,1                            ,                        ,1                      ,             ,                 ,                    ,3                 ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 3; total count = 223; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  1,H, 2,  60.00,      2.0900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,1              ,2                       ,                  ,2           ,8                 ,                  ,10                   ,4                 ,17                    ,              ,2            ,                    ,5                 ,9                ,5                         ,                  ,              ,9                          ,2                  ,42                  ,6                         ,1                    ,45                       ,2                     ,4                ,                ,1                ,1               ,1                ,1        ,5                   ,1             ,                      ,                         ,                   ,                        ,1                  ,                        ,                           ,                     ,              ,1            ,                             ,                        ,                       ,             ,                 ,                    ,1                 ,                   ,                  ,                ,                           ,                    ,1                  ,other taxa = 5; total count =209 ; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  1,H, 3,  60.00,      3.5800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,9                 ,4              ,                        ,2                 ,2           ,1                 ,                  ,4                    ,2                 ,63                    ,              ,1            ,                    ,                  ,2                ,10                        ,                  ,              ,4                          ,1                  ,34                  ,                          ,2                    ,50                       ,                      ,                 ,                ,                 ,1               ,                 ,         ,                    ,1             ,                      ,                         ,                   ,                        ,                   ,2                       ,                           ,                     ,7             ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,2                  ,other taxa = 3; total count = 209; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  1,H, 4,  60.00,      5.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,1              ,                        ,                  ,1           ,7                 ,                  ,5                    ,                  ,69                    ,2             ,7            ,                    ,                  ,                 ,3                         ,2                 ,              ,12                         ,2                  ,49                  ,5                         ,                     ,22                       ,                      ,4                ,                ,                 ,                ,                 ,1        ,1                   ,2             ,6                     ,2                        ,                   ,                        ,                   ,                        ,                           ,                     ,2             ,2            ,1                            ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count = 233; from Leg 154SR Ch 27 Table 2
