Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Discoaster surculus	Discoaster pentaradiatus	Discoaster brouweri	Pseudoemiliania lacunosa	Helicosphaera sellii	Helicosphaera carteri	Discoaster triradiatus	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus macintyrei	Calcidiscus leptoporus	Helicosphaera inversa	Braarudosphaera bigelowii	Gephyrocapsa spp. (small)	Gephyrocapsa sp. medium	Scyphosphaera spp.	Gephyrocapsa spp. (large)	Gephyrocapsa oceanica	Syracosphaera spp.	Pontosphaera spp.	Emiliania huxleyi	Ceratolithus telesmus	Gephyrocapsa omega	Helicosphaera wallichii	Gephyrocapsa sp.3 medium	Reticulofenestra asanoi	Florisphaera profunda	Comment



  IR	                 	Holocene         	                  	              	172	1054	A	  1	H	 1	  70.00	      0.7000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	-                       	-                   	                     	                      	                     	+                     	                      	                      	                     	                         	A                        	A                      	                  	-                        	                     	+                 	                 	D                	+                    	                  	+                      	                        	                       	+                    	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  1	H	 1	 130.00	      1.3000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	-                       	                    	                     	                      	                     	+                     	                      	                      	                     	                         	+                        	+                      	                  	                         	                     	+                 	+                	+                	+                    	+                 	+                      	                        	                       	+                    	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  1	H	 4	 130.00	      5.8000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	-                       	                    	                     	                      	                     	+                     	                      	                      	                     	                         	+                        	+                      	                  	                         	                     	+                 	                 	C                	+                    	+                 	+                      	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  1	H	 5	 120.00	      7.2000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	-                       	                    	                     	                      	                     	+                     	                      	                      	                     	                         	+                        	+                      	+                 	                         	                     	+                 	+                	                 	+                    	+                 	+                      	                        	                       	+                    	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  1	H	 5	 130.00	      7.3000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	-                       	                    	                     	                      	+                    	+                     	                      	                      	                     	                         	A                        	+                      	+                 	+                        	                     	+                 	+                	                 	+                    	+                 	+                      	                        	                       	A                    	       

  IR	                 	                 	                  	              	172	1054	A	  1	H	CC	  23.00	      7.9900	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	                        	                    	                     	                      	                     	                      	                      	                      	                     	                         	A                        	                       	                  	                         	A                    	                  	                 	R                	                     	                  	                       	                        	                       	                     	< 0.085 > 0.26 - between stages 5e-8 - diatom frags common - Helicosphaera spp. (R)

