Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria laevigata	Uvigerina senticosa	Uvigerina peregrina	Uvigerina auberiana	Stilostomella spp.	Pyrgo spp.	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Nonionella atlantica	Nodosaria spp.	Melonis sp.	Melonis pompilioides	Melonis barleeanus	Lagena spp.	Hoeglundina elegans	Gyroidinoides spp.	Globocassidulina subglobosa	Globobulimina affinis	Gavelinopsis translucens	Fontbotia wuellerstorfi	Epistominella exigua	Elphidium spp.	Eggerella bradyi	Cibicidoides kullenbergi	Chilostomella oolina	Cassidulina crassa	Cassidulina carinata	Bulimina marginata	Bulimina gr. costata	Bulimina alazanensis	Bulimina aculeata	Brizalina subaenariensis	Bolivinita quadrilatera	Bolivina pseudopunctata	Bolivina paula	Fursenkoina sp.	Cibicidoides wuellerstorfi	Caudammina crassa	Comment



  IR	                 	                 	                  	              	172	1054	A	  1	H	 1	  70.00	      0.7000	Poli     	Benthic Foraminifers                         	C              	G                 	T                     	-                  	-                  	-                  	-                 	-         	R                 	-                    	-                     	R                   	-             	-          	-                   	-                 	-          	-                  	-                 	T                          	-                    	-                       	-                      	T                   	C             	-               	-                       	-                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	-                      	-                      	C             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	  1	H	CC	  23.00	      7.9900	Poli     	Benthic Foraminifers                         	C              	G                 	F                     	                   	R                  	-                  	                  	F         	                  	-                    	-                     	R                   	              	           	-                   	-                 	           	-                  	                  	-                          	C                    	R                       	T                      	T                   	              	-               	T                       	T                   	-                 	C                   	C                 	T                   	                    	                 	T                       	                       	R                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	  2	H	CC	  12.00	     17.8300	Poli     	Benthic Foraminifers                         	A              	VG                	F                     	                   	T                  	-                  	                  	R         	                  	-                    	-                     	-                   	              	           	T                   	T                 	           	-                  	                  	-                          	-                    	-                       	                       	-                   	              	F               	-                       	-                   	T                 	A                   	F                 	T                   	                    	                 	                        	                       	T                      	T             	               	F                         	                 	       

  IR	                 	                 	                  	              	172	1054	A	  3	H	 1	  70.00	     18.2000	Poli     	Benthic Foraminifers                         	A              	VG                	R                     	-                  	-                  	-                  	-                 	-         	F                 	-                    	R                     	R                   	T             	           	-                   	-                 	-          	-                  	T                 	R                          	-                    	F                       	-                      	-                   	-             	-               	R                       	-                   	R                 	F                   	R                 	R                   	                    	                 	-                       	                       	-                      	C             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	  3	H	CC	  21.00	     27.4100	Poli     	Benthic Foraminifers                         	A              	VG                	T                     	                   	R                  	-                  	F                 	          	                  	-                    	T                     	R                   	              	           	-                   	-                 	           	-                  	                  	R                          	F                    	-                       	-                      	-                   	              	-               	-                       	R                   	T                 	R                   	R                 	R                   	                    	                 	                        	                       	                       	C             	               	                          	                 	       

