Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis rhizodon,Theocotyle venezuelensis,Spongatractus pachystylus,Podocyrtis sinuosa,Lithocyclia ocellus,Eusyringium lagena,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Thyrsocyrtis triacantha,Tristylospyris triceros,Podocyrtis  ampla,Podocyrtis diamesa,Theocorys acroria,Podocyrtis mitra,Thyrsocyrtis lochites,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis papalis,Podocyrtis chalara,Cryptocarpium ornatum,Lophocyrtis jacchia,Podocyrtis goetheana,Lithocyclia aristotelis group,Cryptocarpium azyx,Dictyoprora armadillo,Calocyclas bandyca,Centrobotrys petrushevskayae,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Calocyclas turris,Theocyrtis tuberosa,Lychnocanoma amphitrite,Artophormis barbadensis,Lithocyclia angusta,Artophormis gracilis,Lithocyclia crux,Theocyrtis annosa,Lychnodictyum audax,Didymocyrtis prismatica,Dorcadospyris circulus,Dorcadospyris ateuchus,Dorcadospyris papilio,Lychnocanoma elongata,Dorcadospyris forcipata,Eucyrtidium diaphanes,Carpocanopsis cingulata,Siphostichartus corona,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Carpocanopsis favosa,Stichocorys delmontensis,Didymocyrtis violina,Stichocorys wolffii,Carpocanopsis bramlettei,Calocycletta virginis,Dorcadospyris dentata,Calocycletta costata,Calocycletta caepa,Liriospyris stauropora,Didymocyrtis tubaria,Didymocyrtis mammifera,Dorcadospyris alata,Lithopera neotera,Didymocyrtis laticonus,Carpocanopsis cristata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,D. alata (RN5)    ,D. alata (RN5),199,1219,A,  1,H,CC,  12.00,      5.9200,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,+                      ,+                    ,                    ,+                       ,                    ,+                  ,+                       ,+                    ,                     ,                    ,+                 ,+                     ,                    ,                      ,+                  ,                 ,+                     ,+                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,D. alata (RN5)    ,D. alata (RN5),199,1219,A,  2,H,CC,  15.00,     16.0000,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,+                      ,+                    ,                    ,+                       ,                    ,+                  ,+                       ,+                    ,                     ,                    ,+                 ,+                     ,                    ,                      ,+                  ,+                ,+                     ,+                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Middle Miocene   ,D. alata (RN5)    ,D. alata (RN5),199,1219,A,  3,H, 3,  45.00,     18.9500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,+                      ,+                    ,                    ,                        ,                    ,+                  ,                        ,+                    ,+                    ,+                   ,                  ,                      ,                    ,                      ,+                  ,+                ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,C. costata (RN4)  ,C. costata (RN4),199,1219,A,  3,H, 4,  45.00,     20.4500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,+                    ,                    ,                        ,                    ,                   ,                        ,+                    ,+                    ,+                   ,                  ,                      ,                    ,                      ,+                  ,                 ,                      ,                      ,       
