Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Acarinina pentacamerata,Morozovella lensiformis,Acarinina soldadoensis angulosa,Acarinina punctocarinata,Acarinina pseudotopilensis,Acarinina esnaensis,Pseudohastigerina barbadoensis,Catapsydrax dissimilis,Globoquadrina altispira altispira,Globigerinita uvula,Globigerina praebulloides,Globigerinita glutinata,Globorotalia obesa,Globoquadrina dehiscens dehiscens,Globoquadrina altispira globosa,Globigerinoides sacculifer,Globigerina foliata,Globigerina eamesi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 12,R,CC,  11.00,    453.5200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                       ,                       ,                               ,                        ,                          ,                   ,                              ,                      ,                                 ,                   ,T                        ,T                      ,T                 ,T                                ,T                              ,T                         ,T                  ,T                 ,from ODP Leg 112 SR Chapter 15 Table 11 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 17,R,CC,   0.00,    498.0000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                       ,                       ,                               ,                        ,                          ,                   ,                              ,                      ,                                 ,                   ,                         ,T                      ,                  ,                                 ,                               ,                          ,                   ,                  ,from ODP Leg 112 SR Chapter 15 Table 11 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 18,R,CC,   0.00,    507.5000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                       ,                       ,                               ,                        ,                          ,                   ,                              ,                      ,T                                ,T                  ,T                        ,                       ,                  ,                                 ,                               ,                          ,                   ,                  ,from ODP Leg 112 SR Chapter 15 Table 11 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 22,R,CC,  11.00,    545.8800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                       ,                       ,                               ,                        ,                          ,                   ,                              ,T                     ,                                 ,                   ,                         ,                       ,                  ,                                 ,                               ,                          ,                   ,                  ,from ODP Leg 112 SR Chapter 15 Table 11 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 37,R,CC,   8.00,    691.2900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                       ,                       ,                               ,                        ,                          ,                   ,T                             ,                      ,                                 ,                   ,                         ,                       ,                  ,                                 ,                               ,                          ,                   ,                  ,from ODP Leg 112 SR Chapter 15 Table 11 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 38,R,CC,   5.00,    703.0000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,T                      ,                       ,                               ,                        ,                          ,                   ,                              ,                      ,                                 ,                   ,                         ,                       ,                  ,                                 ,                               ,                          ,                   ,                  ,from ODP Leg 112 SR Chapter 15 Table 11 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 44,R,CC,  13.00,    757.1200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,T                      ,T                      ,T                              ,T                       ,T                         ,T                  ,                              ,                      ,                                 ,                   ,                         ,                       ,                  ,                                 ,                               ,                          ,                   ,                  ,from ODP Leg 112 SR Chapter 15 Table 11 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 45,R,CC,  11.00,    767.9500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,T                      ,                       ,                               ,                        ,                          ,                   ,                              ,                      ,                                 ,                   ,                         ,                       ,                  ,                                 ,                               ,                          ,                   ,                  ,from ODP Leg 112 SR Chapter 15 Table 11 p 256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
