Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys delmontensis,Siphostichartus corona,Lychnocanoma elongata,Lamprocyclas margatensis,Dorcadospyris sp. cf. D. dentata,Didymocyrtis violina,Carpocanium kinugasense,Calocycletta costata,Botryostrobus miralestensis,Botryostrobus bramlettei,Astrophacus sp.,Didymocyrtis laticonus,Anthocyrtidium ophirense,Saturnalis circularis,Dorcadospyris alata,Theocorys spongoconus,Eucyrtidium calvertense,Siphonosphaera spinosa,Peripyramis circumtexta,Dictyocoryne profunda,Theocyrtis sp. A,Stylotrochus sol,Stylacontarium acquilonium,Otosphaera sp.,Otosphaera auriculata,Diartus petterssoni,Spongocore cylindrica,Pterocanium orcinum,Didymocyrtis penultima,Didymocyrtis antepenultima,Pterocanium trilobum,Cornutella profunda,Cornutella bimarginata,Stichocorys peregrina,Stichocorys sp. B,Spongaster tetras tetras,Eucyrtidium hexasticum,Clathrocyclas bicornis,Eucyrtidium punctatum,Pterocanium korotnevi,Cyrtolagena aglaolampa,Archipilium quasimacropum,Lamprocyclas maritalis maritalis,Eucyrtidium matuyamai,Lamprocyclas junonis,Dictyophimus crisiae,Botryostrobus auritus group,Amphirhopalum ypsilon,Hexacontium arachnoidale,Dictyocoryne truncatum,Spongodiscus gigas,Cyrtocapsella cornuta,Theocorythium trachelium trachelium,Eucyrtidium hexagonatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,A. ypsilon        ,              ,125, 782,A,  1,H,CC,   5.00,      9.6500,Wang     ,Radiolarians                                 ,A              ,G                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,R                     ,                       ,                     ,                ,                ,                          ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,F                  ,                      ,                     ,                 ,                        ,                      ,                      ,F                    ,F                    ,                      ,                         ,C                               ,                     ,                    ,R                   ,                           ,F                    ,                        ,                      ,                  ,                     ,F                                  ,R                      ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,A. ypsilon        ,              ,125, 782,A,  2,H,CC,   5.00,     19.7000,Wang     ,Radiolarians                                 ,R              ,P                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,R                     ,                       ,                     ,                ,                ,F                         ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,F                   ,                    ,                           ,F                    ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,A. ypsilon        ,              ,125, 782,A,  4,H,CC,   5.00,     38.6900,Wang     ,Radiolarians                                 ,R              ,P                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,                       ,                     ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,R                     ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,A. ypsilon        ,              ,125, 782,A,  5,H,CC,   5.00,     48.1300,Wang     ,Radiolarians                                 ,F              ,P                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,                       ,                     ,                ,                ,F                         ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,R                    ,                     ,                      ,                         ,F                               ,                     ,                    ,                    ,                           ,F                    ,                        ,                      ,                  ,                     ,F                                  ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
