Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paragloborotalia acostaensis,Turborotalita quinqueloba,Paragloborotalia continuosa,Neogloboquadrina pachyderma (dextral),Globorotalia cf. Gr. zealandica,Globigerina praebulloides,Globigerina officinalis,Catapsydrax unicavus,Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globorotalia scitula,Globigerinoides ruber,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. juv. sinistral,Neogloboquadrina sp. juv. dextral,Globoconella inflata,Globigerina bulloides,Orbulina universa,Neogloboquadrina cf. dutertrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,N. pachyderma (sin.),              ,151, 911,A,  1,H, 1,  26.00,      0.2600,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                            ,                         ,                           ,                                     ,                               ,                         ,                       ,                    ,                                      ,                                    ,                    ,                     ,R                                      ,                                   ,                                 ,                    ,                     ,                 ,                              ,From Leg 151; Ch 8; Table 1; p. 155-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,N. pachyderma (sin.),              ,151, 911,A,  1,H, 1, 116.00,      1.1600,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                            ,                         ,                           ,                                     ,                               ,                         ,                       ,                    ,                                      ,                                    ,                    ,                     ,A                                      ,                                   ,                                 ,                    ,F                    ,                 ,R                             ,From Leg 151; Ch 8; Table 1; p. 155-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,N. pachyderma (sin.),              ,151, 911,A,  1,H, 2, 110.00,      2.6000,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                            ,                         ,                           ,                                     ,                               ,                         ,                       ,                    ,                                      ,                                    ,                    ,                     ,R                                      ,                                   ,                                 ,                    ,                     ,                 ,                              ,From Leg 151; Ch 8; Table 1; p. 155-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,N. pachyderma (sin.),              ,151, 911,A,  1,H, 3, 110.00,      4.1000,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,                            ,                         ,                           ,                                     ,                               ,                         ,                       ,                    ,                                      ,                                    ,                    ,                     ,A                                      ,                                   ,                                 ,                    ,                     ,                 ,                              ,From Leg 151; Ch 8; Table 1; p. 155-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
