Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bolboforma indistincta	Bolboforma lamari	Bolboforma eocena	Bolboforma geomari	Bolboforma sp. B	Bolboforma sp. cf. B. geomaris	Bolboforma praespinosa	Bolboforma sp. A	Bolboforma latdorfensis	Bolboforma pustula	Comment



  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 699	A	 27	X	 6	 114.00	    251.7400	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                 	                  	                	                              	                      	                	                       	C                 	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 699	A	 30	X	 4	 104.00	    274.1400	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                 	                  	                	                              	                      	R               	                       	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 699	A	 31	X	 4	 118.00	    283.7800	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                 	                  	                	                              	                      	R               	                       	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 699	A	 31	X	 5	 118.00	    285.2800	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                 	                  	                	                              	                      	                	C                      	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Late Eocene      	                 	B. geomari        	              	114	 699	A	 33	X	 1	  70.00	    297.8000	Spiegler 	Bolboforms                                   	               	                  	                      	F                	                 	R                 	                	                              	                      	                	                       	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Late Eocene      	                 	B. geomari        	              	114	 699	A	 33	X	 4	  70.00	    302.3000	Spiegler 	Bolboforms                                   	               	                  	                      	F                	                 	R                 	                	R                             	                      	                	                       	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Late Eocene      	                 	B. geomari        	              	114	 699	A	 33	X	 5	  70.00	    303.8000	Spiegler 	Bolboforms                                   	               	                  	R                     	                 	                 	                  	                	                              	                      	                	                       	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Late Eocene      	                 	B. geomari        	              	114	 699	A	 35	X	 1	 110.00	    317.2000	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                 	                  	                	                              	                      	R               	R                      	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Late Eocene      	                 	B. geomari        	              	114	 699	A	 35	X	 3	 120.00	    320.3000	Spiegler 	Bolboforms                                   	               	                  	                      	R                	                 	                  	                	                              	                      	                	                       	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

  SR	Late Eocene      	                 	B. geomari        	              	114	 699	A	 35	X	 6	 110.00	    324.7000	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                 	                  	R               	                              	                      	                	                       	                  	from ODP Leg 114 SR Chapter 18 Table 2 p.327

