Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis navicula,Naviculopsis biapiculata,Distephanus speculum minutus,Distephanus speculum hemisphaericus &  boliviensis (hemisphaericoid),Distephanus slavnicii,Distephanus crux scutulatus,Distephanus crux parvus,Distephanus crux,Distephanus boliviensis & speculum (bolivienoid)-(w/ >4aw.),Distephanus boliviensis & speculum (bolivienoid),Distephanus &  speculum (bolivienoid)-(w/ 3aw.),Distephanus &  speculum (bolivienoid)-(w/ 2aw.),Dictyocha longa,Dictyocha fibula,Corbisema triacantha,Bachmannocena triangula,Bachmannocena diodon nodosa (w/ 1 sp.),Septamesocena apiculata apiculata,Parathranium bispinum,Naviculopsis lata,Haplohermesinum hovassei,Foliactiniscus atlanticus,Falsebrioid Falsebrioid,Falsebria sp.,Falsebria ambigua,Ebriopsoid skeletons,Corbisema flexuosa,Ammodochium pyramidale,Ammodochioid skeletons,Actiniscus sp.,Actiniscus flosculus,Septamesocena apiculata f. curvata,Parathranium curvipes,Parathranium cf. clathratum,Parathranium cf. californicum,Naviculopsis lacrima,Hermesinoid skeletons,Hermesinella schulzii,Hermesinella primitiva,Hermesinella fenestrata,Hermesinella conata,Ditripodium cf. amphora,Distephanus speculum haliomma f. haliomma,Distephanus crux stradneri,Cannopilus hemisphaericus f. hemisphaericus,Distephanus stradneri,Dictyocha aspera,Bachmannocena apiculata curvata,Bachmannocena apiculata,Macrora stella,Distephanus crux longispinus,Distephanus crux darwinii,Distephanus aculeatus f. aculeatus,Dictyocha messaensis aspinosa,Corbisema species diversae,Naviculopsis quadrata,Naviculopsis iberica ,Mesocena elliptica,Haplohermesinum narbonensis,Foliactiniscus folia,Distephanus paraspeculum f. paraspeculum,Dictyocha varia,Dictyocha species diversae (asperoid),Dictyocha pulchella var. inflata,Naviculopsis species diversae,Distephanus speculum haliomma formae diversae,Distephanus speculum haliomma f. speculum,Distephanus paraspeculum f. hexagonalis,Naviculopsis navicula obtusarca,Naviculopsis navicula navicula,Falsebria cf. arborea,Bachmannocena quadrangula,Ebria inornata,Distephanus quinquangellus,Craniopsis sp.,Corbisema sp. 1,Caryocha ernestinae,Hermesinum obliquum,Foliactiniscus pulvinus,Actiniscus tetrasterias,Caryocha depressa,Dictyocha clinata,Distephanus bachmanni,Hermesinum adriaticum,Distephanus aff. fibula hexacantha,Distephanus quinquangellus (w/ 3ap.),Distephanus longispinus,Distephanus crux ssp. 3,Corbisema cf. trigonus,Caryocha cf. latifenestrata,Canopilus hemisphaericus f. heptagonus,Distephanus pseudofibula,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 3aw. & 7brs.),Distephanus (aberrant forms),Foliactiniscus mirabilis,Ditripodium amphora,Ditripodium latum,Cannopilus schulzii,Canopilus ernestinae,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 7brs.),Actiniscus pentasterias,Distephanus crux ssp. 2,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  2,X, 2, 125.00,    192.6500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,9                                                                   ,13                   ,21                         ,79                     ,95              ,12                                                         ,29                                              ,5                                              ,6                                              ,               ,2               ,                    ,1                      ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,12                   ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,1                  ,                   ,                       ,                       ,4                ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,6                           ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,10                     ,Total whole specimens = 305; Unidentifiabale fragments = 11; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  2,X, 5, 125.00,    197.1500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,9                                                                   ,15                   ,41                         ,161                    ,46              ,3                                                          ,15                                              ,2                                              ,3                                              ,               ,                ,1                   ,2                      ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,6                    ,                ,2                              ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,2                                                                  ,                            ,                        ,                   ,                 ,                   ,                    ,1                                                           ,                       ,                       ,Total whole specimens = 309; Unidentifiabale fragments = 5; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,lower C. triacantha,H. adriaticum ,104, 642,D,  3,X, 2,  60.00,    201.7000,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,1.0%                   ,41.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,                    ,                       ,                                      ,                                 ,2.0%                 ,                 ,1.0%                    ,1.0%                     ,10.0%                  ,3.0%         ,                 ,1.0%                ,                  ,7.0%                  ,4.0%                  ,29.0%         ,4.0%                ,1.0%                              ,                     ,8.0%                       ,3.0%                         ,                    ,5.0%                 ,7.0%                 ,                      ,2.0%                   ,6.0%               ,                       ,31.0%                                    ,2.0%                      ,125                                        ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,4.0%                                     ,                                       ,                               ,                              ,1.0%                 ,                         ,              ,                          ,              ,               ,                   ,3.0%               ,                       ,                       ,                 ,                 ,                     ,2.0%                 ,                                  ,                                    ,                       ,                       ,                      ,                           ,T                                     ,                        ,                                                                   ,                            ,                        ,                   ,                 ,T                  ,                    ,                                                            ,1.0%                   ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  3,X, 2, 125.00,    202.3500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,14                                                                  ,10                   ,15                         ,75                     ,84              ,11                                                         ,29                                              ,19                                             ,17                                             ,               ,1               ,                    ,1                      ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,8                    ,                ,6                              ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,1                ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,1                                                           ,                       ,                       ,Total whole specimens = 292; Unidentifiabale fragments = 10; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
