Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinovantedinium? xylochoporum,Trinovantedinium? sp.2,Trinovantedinium harpagonium,Sumatradinium soucouyantae,Sumatradinium hispidum,Spiniferites spp.,Spiniferites pseudofurcatus,Selenopemphix brevispinosa brevispinosa,Reticulatosphaera actinocoronata,Quadrina? condita,Polysphaeridium zoharyi,Polykrikos kofoidii?,Lejeunecysta? sp. (lateral horns),Lejeunecysta convexa,Labyrinthodinium truncatum truncatum,Hystrichosphaeropsis obscura,Habibacysta tectata,Cristadinium sp.4,Cannosphaeropsis passio,Brigantedinium? sp.6,Brigantedinium? sp.5,Algidasphaeridium? sp.11,Algidasphaeridium? euaxum,Sumatradinium druggii,Palaeocystodinium golzowense,Operculodinium centrocarpum,Lejeunecysta sp.8,Dapsilidinium pseudocolligerum,Artemisiocysta sp.1,Xandarodinium xanthum,Selenopemphix brevispinosa conspicua,Lejeunecysta mariae,Lejeunecysta catoma,Batiacasphaera sp. cf. B. hirsuta,Selenopemphix dionaeacysta,Nematosphaeropsis lemniscata,Lingulodinium machaerophorum,Cordosphaeridium? minimum,Tectatodinium pellitum,Selenopemphix quanta,Selenopemphix nephroides,Operculodinium cf. israelianum (small),Lejeunecysta sp.7,Algidasphaeridium? sp.8,Batiacasphaera sphaerica,Brigantedinium spp.,Tuberculodinium vancampoae,Lejeunecysta sp.3,Lejeunecysta paratenella,Impagidinium? pallidum,Geonettia clineae,Erymnodinium delectabile,Cerebrocysta poulsenii,Lejeunecysta sp.9,Algidasphaeridium? sp.9,Trinovantedinium ferugnomatum,Impagidinium paradoxum,Barssidinium evangelineae,Operculodinium sp.,Operculodinium crassum,Algidasphaeridium? sp.6,Trinovantedinium glorianum,Operculodinium janduchenei,Hystrichokolpoma rigaudiae,Brigantedinium cariacoense,Quinquecuspis concreta,Nematosphaeropsis rigida,Melitasphaeridium choanophorum,Impagidinium arachnion,Achomosphaera andalousiensis,Operculodinium? eirikianum,Invertocysta lacrymosa,Filisphaera microornata,Algidasphaeridium? sp.4,Spiniferites mirabilis,Impagidinium aculeatum,Amiculosphaera umbracula,Operculodinium israelianum s.l.,Cordosphaeridium cantharellus,Systematophora placacantha,Brigantedinium simplex,Bitectatodinium tepikiense,Algidasphaeridium? minutum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,150, 903,A, 37,X,CC,  35.00,    327.6300,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                              ,                      ,                            ,                          ,                      ,+                ,                           ,                                       ,                                ,                 ,                       ,                    ,                                 ,                    ,                                    ,                            ,                   ,                 ,                       ,                    ,                    ,                        ,                         ,                     ,                            ,                           ,                 ,                              ,                   ,                     ,                                    ,                   ,                   ,                                 ,                          ,                            ,                            ,                         ,                      ,                    ,+                       ,                                      ,                 ,                       ,                        ,                   ,                          ,                 ,                        ,                      ,                 ,                        ,                      ,                 ,                       ,                             ,                      ,                         ,                  ,                      ,                       ,                          ,                          ,                          ,                          ,                      ,                        ,                              ,                      ,                            ,                          ,                      ,                       ,                       ,                      ,                      ,                        ,                               ,                             ,r                         ,+                     ,+                         ,+                         ,From 150SR. Ch 27. Table 2.  p 442-443.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,150, 903,A, 39,X,CC,  39.00,    343.4100,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                              ,                      ,                            ,                          ,                      ,+                ,+                          ,                                       ,                                ,                 ,                       ,                    ,                                 ,                    ,                                    ,                            ,                   ,                 ,                       ,                    ,                    ,                        ,                         ,                     ,                            ,                           ,                 ,                              ,                   ,                     ,                                    ,                   ,                   ,                                 ,                          ,                            ,                            ,                         ,+                     ,                    ,                        ,                                      ,                 ,                       ,                        ,                   ,                          ,                 ,                        ,                      ,                 ,                        ,                      ,                 ,                       ,                             ,                      ,                         ,                  ,                      ,                       ,                          ,                          ,                          ,                          ,                      ,                        ,                              ,                      ,                            ,                          ,                      ,                       ,                       ,                      ,                      ,                        ,+                              ,r                            ,                          ,                      ,                          ,                          ,From 150SR. Ch 27. Table 2.  p 442-443.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,DN9               ,              ,150, 903,A, 40,X,CC,  35.00,    352.2800,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                              ,                      ,+                           ,                          ,                      ,+                ,                           ,+                                      ,+                               ,                 ,                       ,                    ,                                 ,                    ,+                                   ,                            ,                   ,                 ,                       ,+                   ,                    ,                        ,                         ,                     ,                            ,+                          ,+                ,                              ,                   ,                     ,                                    ,                   ,                   ,                                 ,                          ,                            ,                            ,                         ,+                     ,                    ,                        ,                                      ,                 ,                       ,+                       ,                   ,                          ,                 ,                        ,                      ,                 ,                        ,                      ,+                ,                       ,+                            ,                      ,+                        ,                  ,                      ,                       ,+                         ,+                         ,                          ,                          ,                      ,                        ,+                             ,                      ,                            ,                          ,                      ,                       ,                       ,+                     ,+                     ,+                       ,                               ,                             ,                          ,                      ,                          ,                          ,Zone assignment uncertain. From 150SR. Ch 27. Table 2. p 442-443.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,DN9               ,              ,150, 903,A, 41,X,CC,  30.00,    362.9000,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                              ,                      ,                            ,                          ,                      ,+                ,                           ,                                       ,+                               ,                 ,                       ,                    ,                                 ,                    ,                                    ,+                           ,+                  ,                 ,                       ,                    ,                    ,                        ,                         ,                     ,                            ,+                          ,                 ,                              ,                   ,                     ,                                    ,                   ,                   ,                                 ,                          ,                            ,                            ,                         ,+                     ,                    ,                        ,                                      ,                 ,                       ,                        ,                   ,                          ,+                ,                        ,                      ,                 ,                        ,                      ,                 ,                       ,+                            ,                      ,+                        ,                  ,                      ,                       ,                          ,                          ,                          ,                          ,                      ,                        ,                              ,                      ,+                           ,                          ,                      ,+                      ,                       ,                      ,                      ,                        ,                               ,                             ,                          ,                      ,                          ,                          ,From 150SR. Ch 27. Table 2.  p 442-443.
