Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus dissimilis,Sphenolithus compactus,Sphenolithus ciperoensis,Reticulofenestra pseudoumbilica,Reticulofenestra minutula,Reticulofenestra haqii,Reticulofenestra gelida,Helicosphaera recta,Ericsonia obruta,Discoaster deflandrei,Discoaster adamanteus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Coccolithus eopelagicus,Calcidiscus macintyrei,Discoaster spp.,Coronocyclus nitescens,Reticulofenestra minuta,Discoaster variabilis,Sphenolithus delphix,Discoaster druggii,Calcidiscus premacintyrei,Calcidiscus leptoporus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Sphenolithus abies,Hayaster perplexus,Pontosphaera spp.,Tetralithoides symeonidesii,Sphenolithus heteromorphus,Discoaster exilis,Sphenolithus belemnos,Sphenolithus conicus,Cyclolithella annula,Helicosphaera granulata,Coccolithus streckerii,Dictyococcites productus,Scyphosphaera spp.,Discoaster brouweri,Discoaster braarudii,Discoaster kugleri,Discoaster challengeri,Helicosphaera carteri,Discoaster surculus,Discoaster prepentaradiatus,Discoaster pansus,Discoaster bellus,Discoaster pseudovariabilis,Discoaster hamatus,Discoaster calcaris,Catinaster coalitus,Discoaster bollii,Discoaster triradiatus,Catinaster calyculus,Discoaster neohamatus,Discoaster asymmetricus,Discoaster pentaradiatus,Discoaster neorectus,Discoaster berggrenii,Discoaster quinqueramus,Discoaster loeblichii,Discoaster blackstockae,Pseudoemiliania lacunosa,Discoaster quadramus,Amaurolithus primus,Reticulofenestra asanoi,Ceratolithus rugosus,Helicosphaera sellii,Discoaster tristellifer,Discoaster decorus,Umbilicosphaera sibogae,Helicosphaera wallichii,Helicosphaera neogranulata,Discoaster tamalis,Ceratolithus cristatus,Syracosphaera pulchra,Coccolithus crassipons,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN18              ,              ,130, 804,C,  3,H,CC,  14.00,     25.5500,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,                               ,10                       ,                      ,                       ,                   ,                ,                     ,                     ,                           ,1                    ,                        ,                       ,T                     ,               ,                      ,150                    ,                     ,                    ,                  ,                         ,20                    ,                          ,                          ,                  ,T                 ,                 ,1                          ,                          ,                 ,                     ,                    ,?                   ,                       ,                      ,5                       ,                  ,3                  ,                    ,                  ,                      ,T                    ,?                  ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,T                     ,                    ,                     ,?                      ,                        ,                    ,                     ,                       ,                     ,                       ,5                       ,                    ,                   ,3                      ,T                   ,1                   ,                       ,                  ,                       ,T                      ,                          ,                  ,T                     ,1                    ,T                     ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN17              ,              ,130, 804,C,  4,H, 3,  90.00,     29.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,T                              ,106                      ,1                     ,                       ,                   ,                ,                     ,                     ,                           ,T                    ,                        ,                       ,5                     ,               ,                      ,66                     ,                     ,                    ,                  ,                         ,13                    ,                          ,                          ,                  ,                  ,                 ,T                          ,                          ,                 ,                     ,                    ,?                   ,                       ,                      ,                        ,                  ,4                  ,                    ,                  ,                      ,                     ,?                  ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,T                     ,                    ,                     ,T                      ,1                       ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,2                      ,T                   ,T                   ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,2                    ,T                     ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN16              ,              ,130, 804,C,  4,H,CC,  18.00,     35.2500,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,T                              ,17                       ,                      ,                       ,                   ,                ,                     ,                     ,                           ,T                    ,                        ,                       ,T                     ,               ,                      ,159                    ,1                    ,                    ,                  ,                         ,13                    ,                          ,                          ,?                 ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,T                   ,                       ,                      ,2                       ,                  ,5                  ,                    ,                  ,T                     ,T                    ,T                  ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,T                     ,                    ,                     ,1                      ,T                       ,                    ,                     ,                       ,                     ,                       ,T                       ,                    ,                   ,?                      ,                    ,?                   ,                       ,                  ,2                      ,?                      ,T                         ,?                 ,T                     ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN13              ,NN15          ,130, 804,C,  5,H, 4,  90.00,     40.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,11                             ,5                        ,                      ,3                      ,                   ,                ,?                    ,                     ,                           ,?                    ,                        ,                       ,2                     ,2              ,                      ,130                    ,?                    ,                    ,                  ,                         ,27                    ,                          ,                          ,7                 ,1                 ,                 ,1                          ,                          ,                 ,                     ,                    ,?                   ,                       ,                      ,1                       ,                  ,3                  ,                    ,                  ,?                     ,                     ,T                  ,                           ,?                ,                 ,                           ,                  ,                   ,                   ,                 ,T                     ,                    ,                     ,?                      ,4                       ,                    ,                     ,T                      ,                     ,?                      ,                        ,                    ,                   ,                       ,2                   ,?                   ,T                      ,1                 ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
