Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Tenuitellinata sp.,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (sinistral),Globigerinita juvenilis,Globigerinita glutinata,Globigerina bulloides,Tenuitella minutissima,Neogloboquadrina dutertrei,Neogloboquadrina atlantica (dextral),Streptochilus globigerum,Neogloboquadrina acostaensis,Globorotalia scitula,Globorotalia inflata,Globigerinita uvula,Neogloboquadrina humerosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 919,B,  3,H, 1,  94.00,     90.9400,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,T                        ,T                 ,C                                      ,R                                    ,-                                     ,T                      ,-                      ,T                    ,-                     ,T                         ,-                                   ,R                       ,T                           ,R                   ,VR                  ,-                  ,-                        ,From Leg 152SR; Ch 12; Table 10; p. 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 919,B,  3,H, 2, 100.00,     92.5000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,T                        ,T                 ,T                                      ,-                                    ,-                                     ,-                      ,-                      ,-                    ,-                     ,-                         ,-                                   ,VR                      ,-                           ,-                   ,-                   ,-                  ,-                        ,From Leg 152SR; Ch 12; Table 10; p. 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 919,B,  3,H, 3,  95.00,     93.9500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,T                        ,T                 ,T                                      ,R                                    ,r                                     ,T                      ,T                      ,C                    ,T                     ,T                         ,-                                   ,-                       ,-                           ,R                   ,R                   ,VR                 ,-                        ,From Leg 152SR; Ch 12; Table 10; p. 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 919,B,  3,H, 4,  96.00,     95.4600,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,-                 ,C                                      ,VR                                   ,-                                     ,-                      ,-                      ,-                    ,-                     ,-                         ,-                                   ,-                       ,-                           ,-                   ,-                   ,-                  ,-                        ,From Leg 152SR; Ch 12; Table 10; p. 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 919,B,  3,H, 5,  95.00,     96.9500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,T                 ,C                                      ,-                                    ,-                                     ,-                      ,-                      ,-                    ,-                     ,-                         ,-                                   ,-                       ,VR                          ,-                   ,-                   ,-                  ,-                        ,From Leg 152SR; Ch 12; Table 10; p. 175
