Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Syracosphaera spp.	Sphenolithus neoabies	Sphenolithus moriformis	Sphenolithus compactus	Sphenolithus abies	Scyphosphaera sp. (fragment)	Reticulofenestra spp. (small - medium)	Reticulofenestra pseudoumbilica	Pontosphaera sp.	Helicosphaera kamptneri	Gephyrocapsa spp. (small)	Discoaster variabilis	Discoaster surculus	Discoaster stellulus	Discoaster spp. (fragments)	Discoaster spp. (6 rays)	Discoaster spp. (5 rays)	Discoaster pentaradiatus	Discoaster pansus	Discoaster ono	Discoaster brouweri	Dictyococcites productus	Cycloperfolithus carlae	Cyclolithus annulus	Coccolithus pataecus	Calcidiscus leptoporus	Thoracosphaera saxea	Scyphosphaera pulcherrima	Rhabdosphaera stylifera	Helicosphaera spp.	Helicosphaera sellii	Emiliania ovata	Discoaster quadramus	Discoaster moorei	Discoaster extensus	Discoaster challengeri	Discoaster asymmetricus	Discoaster archipelagoensis	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus macintyrei	Amaurolithus delicatus	Pseudoemiliania lacunosa	Oolithotus fragilis	Discoaster triradiatus	Discoaster blackstockae	Cyclicargolithus floridanus	Ceratolithus rugosus	Thoracosphaera spp.	Scapholithus fossilis	Discoaster tamalis	Discoaster sp. A	Coccolithus spp.	Ceratolithus spp.	Rhabdosphaera clavigera	Discoaster quinqueramus	Discoaster intercalaris	Thoracosphaera heimii	Helicosphaera pavimentum	Helicosphaera hyalina	Ceratolithus telesmus	Discoaster surculus (3-rays)	Hayaster perplexus	Discoaster tamalis (grainy)	Discoaster surculus (grainy)	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Discoaster asymmetricus (grainy)	Pontosphaera japonica	Holodiscolithus spp.	Discoaster spp. (fragments & grainy)	Discoaster pentaradiatus (grainy)	Calcidiscus macintyrei (grainy)	Thoracosphaera saxea (fragments)	Pontosphaera indooceanica	Helicosphaera inversa	Emiliania huxleyi	Comment



  SR	Pleistocene      	Holocene         	CN15              	              	135	 834	A	  1	H	 2	 130.00	      2.8000	Styzen   	Nannofossils                                 	               	                  	V                   	L                 	                     	                       	                      	                  	                            	                                      	                               	S               	M                      	L                        	                     	                   	                    	                           	                        	                        	                        	                 	              	                   	                        	                       	F                  	                    	C                     	S                   	                         	A                      	                  	                    	               	                    	                 	                   	                      	                       	                           	                     	R                     	                      	                      	                        	                   	                      	                       	                           	                    	                   	L                    	                  	                	                	                 	L                      	                       	                       	                     	F                       	C                    	                     	                            	                  	                           	                            	M                        	L                    	                                	S                    	                    	                                    	                                 	                               	M                               	                         	                     	X                	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pleistocene      	                 	CN14b             	              	135	 834	A	  2	H	 2	  40.00	      9.5000	Styzen   	Nannofossils                                 	               	                  	L                   	L                 	                     	                       	                      	                  	R                           	                                      	                               	F               	L                      	X                        	                     	                   	                    	                           	                        	                        	                        	                 	              	                   	                        	                       	F                  	                    	L                     	F                   	                         	S                      	                  	                    	               	                    	                 	                   	                      	                       	                           	                     	S                     	                      	                      	R                       	F                  	                      	                       	                           	                    	                   	C                    	                  	                	                	                 	L                      	                       	                       	                     	M                       	C                    	R                    	                            	M                 	                           	                            	M                        	X                    	                                	S                    	                    	                                    	                                 	                               	F                               	M                        	R                    	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pleistocene      	                 	CN14a             	              	135	 834	A	  3	H	 4	 134.00	     22.9400	Styzen   	Nannofossils                                 	               	                  	L                   	L                 	                     	                       	R                     	R                 	R                           	R                                     	                               	F               	C                      	X                        	                     	                   	                    	                           	R                       	R                       	                        	                 	              	                   	                        	                       	S                  	                    	C                     	S                   	                         	A                      	                  	                    	V              	                    	                 	                   	                      	                       	                           	                     	                      	                      	                      	V                       	L                  	                      	                       	                           	R                   	F                  	F                    	                  	                	                	                 	F                      	                       	                       	                     	                        	F                    	                     	                            	C                 	                           	                            	F                        	M                    	                                	R                    	F                   	R                                   	R                                	R                              	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pleistocene      	                 	CN14a             	              	135	 834	A	  3	H	CC	  21.00	     27.0400	Styzen   	Nannofossils                                 	               	                  	W                   	V                 	                     	                       	                      	                  	R                           	                                      	                               	M               	V                      	X                        	                     	                   	                    	                           	                        	                        	                        	                 	              	                   	                        	                       	F                  	R                   	A                     	                    	                         	W                      	                  	F                   	W              	                    	                 	                   	                      	                       	                           	                     	R                     	                      	                      	W                       	L                  	                      	                       	                           	R                   	C                  	F                    	                  	                	                	                 	L                      	                       	                       	                     	S                       	F                    	                     	                            	F                 	                           	R                           	F                        	M                    	R                               	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195
