Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster variabilis,Discoaster bollii,Discoaster braarudii,Discoaster bellus,Sphenolithus neoabies,Reticulofenestra pseudoumbilica,Calcidiscus leptoporus,Umbilicosphaera sibogae,Triquetrorhabdulus rugosus,Thoracosphaera albatrosiana,Sphenolithus moriformis,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster challengeri,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Discoaster neohamatus,Calcidiscus macintyrei,Minylitha convallis,Umbilicosphaera maceria,Umbilicosphaera angustiforamen,Syracosphaera pulchra,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera colombiana,Helicosphaera carteri,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Discoaster spp.,Ceratolithus cristatus,Rhabdosphaera clavigera,Helicosphaera kamptneri,Scapholithus fossilis,Comment
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  4,X, 3, 133.00,    444.4300,Xu       ,Nannofossils                                 ,C              ,P                 ,C                    ,                 ,F                   ,                 ,R                    ,                               ,F                     ,                       ,                          ,                           ,                       ,                       ,R                       ,F                     ,F                  ,F                    ,                     ,R                    ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  4,X, 4, 133.00,    445.9300,Xu       ,Nannofossils                                 ,C              ,M                 ,C                    ,                 ,C                   ,                 ,F                    ,R                              ,F                     ,R                      ,                          ,R                          ,F                      ,                       ,                        ,                      ,                   ,R                    ,C                    ,                     ,R                     ,R                  ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  4,X, 5, 100.00,    447.1000,Xu       ,Nannofossils                                 ,R              ,P                 ,R                    ,                 ,                    ,                 ,                     ,                               ,                      ,                       ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,                     ,                     ,                     ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  4,X, 6,  29.00,    447.8900,Xu       ,Nannofossils                                 ,A              ,P                 ,C                    ,                 ,F                   ,                 ,                     ,                               ,F                     ,                       ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,F                    ,                     ,                     ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  4,X,CC,  29.00,    448.5700,Xu       ,Nannofossils                                 ,A              ,M                 ,A                    ,                 ,C                   ,                 ,F                    ,C                              ,C                     ,F                      ,R                         ,F                          ,R                      ,F                      ,F                       ,F                     ,C                  ,C                    ,C                    ,                     ,R                     ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  5,X, 3, 142.00,    454.2200,Xu       ,Nannofossils                                 ,C              ,M                 ,C                    ,                 ,F                   ,                 ,F                    ,C                              ,C                     ,F                      ,F                         ,+                          ,F                      ,F                      ,F                       ,F                     ,F                  ,C                    ,C                    ,R                    ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  5,X, 5,  45.00,    456.2500,Xu       ,Nannofossils                                 ,R              ,P                 ,C                    ,                 ,F                   ,                 ,                     ,                               ,                      ,                       ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,F                    ,                     ,+                    ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  5,X, 6,  45.00,    457.7500,Xu       ,Nannofossils                                 ,F              ,P                 ,C                    ,                 ,F                   ,                 ,                     ,                               ,                      ,                       ,                          ,                           ,                       ,R                      ,                        ,                      ,                   ,R                    ,                     ,R                    ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN9a              ,              ,156, 948,C,  5,X, 7,  36.00,    459.1600,Xu       ,Nannofossils                                 ,F              ,M                 ,C                    ,                 ,C                   ,                 ,R                    ,F                              ,F                     ,F                      ,F                         ,F                          ,F                      ,F                      ,R                       ,C                     ,F                  ,F                    ,C                    ,                     ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN8               ,              ,156, 948,C,  5,X,CC,  33.00,    459.5600,Xu       ,Nannofossils                                 ,F              ,P                 ,C                    ,F                ,F                   ,R                ,R                    ,R                              ,F                     ,                       ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,                     ,                     ,                     ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN8               ,              ,156, 948,C,  6,X, 1,  29.00,    459.6900,Xu       ,Nannofossils                                 ,R              ,P                 ,R                    ,R                ,F                   ,+                ,                     ,                               ,                      ,                       ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,                     ,                     ,                     ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN8               ,              ,156, 948,C,  6,X, 1, 131.00,    460.7100,Xu       ,Nannofossils                                 ,R              ,P                 ,+                    ,+                ,                    ,                 ,                     ,                               ,                      ,                       ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,                     ,                     ,                     ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,                     ,                     ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
