Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygospyris productus,Tympanomma binoctonum,Tholospyris mammillaris,Tholospyris anthopora,Stylatractus universus,Orosphaera sp.,Dorcadospyris forcipata,Didymocyrtis violina,Cyrtocapsella cornuta,Cyclampterium leptetrum,Calocycletta virginis,Tholospyris kantiana,Calocycletta costata,Stichocorys wolffii,Liriospyris stauropora,Dorcadospyris dentata,Calocycletta serrata,Lychnocanoma elongata,Cyrtocapsella tetrapera,Carpocanopsis cingulata,Lychnocanoma sp.,Dorcadospyris ateuchus,Didymocyrtis prismatica,Bathropyramis sp.,Otosphaera polymorpha,Liriospyris mutuaria,Liriospyris geniculosa,Heliodiscus asteriscus,Dorcadospyris praeforcipata,Stylodictya aculeata,Lithochytris vespertilio,Hymeniastrum sp.,Dendrospyris damaecornis,Dendrospyris bursa,Stichocorys delmontensis,Liriospyris parkerae,Eucyrtidium diaphanes,Cornutella profunda,Spongopyle sp,Siphostichartus corona,Dictyophimus sp.,Cyrtocapsella japonica,Carpocanopsis bramlettei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,156, 948,C, 10,X, 1, 143.00,    499.5300,Steiger  ,Radiolarians                                 ,F              ,P                 ,                    ,                     ,                       ,                     ,                      ,              ,                       ,                    ,                     ,                       ,R                    ,                    ,                    ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,C. costata (RN4),156, 948,C, 10,X, 2,  69.00,    500.2900,Steiger  ,Radiolarians                                 ,F              ,M                 ,C                   ,F                    ,C                      ,F                    ,F                     ,F             ,F                      ,                    ,                     ,F                      ,F                    ,F                   ,                    ,                   ,F                     ,F                    ,                    ,F                    ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,F                   ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,C. costata (RN4),156, 948,C, 10,X, 3,   8.00,    501.1800,Steiger  ,Radiolarians                                 ,F              ,M                 ,C                   ,F                    ,C                      ,F                    ,F                     ,F             ,F                      ,                    ,F                    ,                       ,F                    ,F                   ,                    ,                   ,C                     ,F                    ,                    ,F                    ,F                      ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,F                   ,                     ,                   ,             ,                      ,                ,R                     ,F                       ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,C. costata (RN4),156, 948,C, 10,X, 3,  25.00,    501.3500,Steiger  ,Radiolarians                                 ,F              ,M                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,                    ,F                    ,R                      ,F                    ,C                   ,                    ,F                  ,F                     ,C                    ,                    ,R                    ,F                      ,                       ,                ,                      ,                       ,                 ,                     ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,F                 ,                        ,F                   ,F                    ,R                  ,             ,                      ,                ,                      ,R                       ,"From Leg 156SR, Ch 2 Table 1"
