Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis,Globoquadrina conglomerata,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides conglobatus,Globigerinita glutinata,Globigerina rubescens,Globigerina calida calida,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 935,A,  1,H, 1,   0.00,      0.0000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,R                ,-                                    ,F                         ,-                           ,C                  ,R                            ,-                     ,-                   ,F                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,C                            ,F                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 935,A,  1,H, 1,  37.00,      0.3700,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,R                ,-                                    ,F                         ,-                           ,F                  ,F                            ,-                     ,-                   ,F                    ,-                   ,R                     ,F                     ,-                        ,-                         ,F                                ,F                                  ,C                            ,F                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 935,A,  1,H, 1,  60.00,      0.6000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,-                ,-                                    ,F                         ,-                           ,F                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,R                     ,-                        ,-                         ,C                                ,F                                  ,C                            ,F                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 935,A,  1,H, 1,  80.00,      0.8000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,-                ,-                                    ,F                         ,-                           ,R                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,F                                  ,C                            ,F                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
