leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor
105,645,C,001,Hydraulic (Advanced) Piston Core,01,BOR,000,,,045,,,"detricarbonate silty clay, void (7-11 cm)","strong brown (0-30 cm) grading down to brownish yellow (30-45 cm),2 thin layers of strong brown at 39 and 43cm","7.5yr 5/6 (0-30,39,43 cm) grading down to 10yr 6/6 (30-45 cm)",,slightly disturbed,,,,gradational lower contact,,,H,70.45717,-64.65433,0000.00,0,45
105,645,C,001,Hydraulic (Advanced) Piston Core,01,BOR,045,,,065,,,detricarbonate clayey silt,brownish yellow with a light brownish crs-grained layer,10yr 6/6,light brownish crs grained layer,slightly disturbed,very coarse sand sized dropstones,,,gradational upper contact,,,H,70.45717,-64.65433,0000.00,45,65
105,645,C,001,Hydraulic (Advanced) Piston Core,01,BOR,065,,,100,,,detricarbonate silty clay (65-80 cm); detricarbonate clayey silt (80-100 cm),"gray (65-71,72-80cm), light brownish gray (71-72,80-100cm)","10yr 5/1 (65-71,72-80 cm), 10yr 6/2 (71-72,80-100 cm)",dropstones,slightly disturbed,dropstones,,,gradational contact to previous lithology(80cm),,,H,70.45717,-64.65433,0000.00,65,100
105,645,C,001,Hydraulic (Advanced) Piston Core,01,BOR,100,,,110,,,detricarbonate silty clay,"brown (100-106 cm), gray (106-110 cm)","7.5yr 5/2 (100-106 cm), n5/ (106-110 cm)",dropstones (101-104cm),slightly disturbed,a 3 cm dropstone and some sand grains (101-104 cm),,,,,,H,70.45717,-64.65433,0000.00,100,110
105,645,C,001,Hydraulic (Advanced) Piston Core,01,BOR,110,,,150,,,detricarbonate silty clay (110-145 cm); detricarbonate silty mud (145-150 cm),olive (110-145 cm) with gray burrows;grayish brown (145-150 cm); black specks (140-142cm),7.5yr 5/2 with n5/ burrows (110-145cm);2.5y 5/2 (145-150cm),"minor bioturbation, dropstones (145-150cm), burrows (115-125cm)",slightly disturbed (110-125),"dropstones(""mostly crs sand size"") at 145-150 cm",,,"dark specks between 140-142 cm, sharp contact (145 cm)",,,H,70.45717,-64.65433,0000.00,110,150
105,645,C,001,Hydraulic (Advanced) Piston Core,02,BOR,000,,,025,,,"detricarbonate, silty mud",grayish brown with olive yellow burrows (20-25 cm),2.5y 5/2 with 2.5y 6/6 burrows (20-25 cm),moderate bioturbation and burrows (20-25 cm),,crs sand to pebble sized dropstones in layers,,,,,,H,70.45717,-64.65433,0001.50,150,175
105,645,C,001,Hydraulic (Advanced) Piston Core,02,BOR,025,,,080,,,detricarbonate clayey silt,grayish brown with a thin pale brown layer at base,2.5y 5/2 with a thin 10yr 6/3 layer at base,dropstones (30cm),moderately disturbed (70-83 cm),layer of enriched dropstones at 30 cm,,,sharp lower contact,,,H,70.45717,-64.65433,0001.50,175,230
105,645,C,001,Hydraulic (Advanced) Piston Core,02,BOR,080,,,140,,,"detricarbonate, clayey silt",reddish brown,5yr 4/3,dropstones,moderately disturbed,dropstones,,,sharp upper contact,,,H,70.45717,-64.65433,0001.50,230,290
105,645,C,001,Hydraulic (Advanced) Piston Core,02,BOR,140,,,150,,,interstitial water sample,,,,,,,,,,,H,70.45717,-64.65433,0001.50,290,300
105,645,C,001,Hydraulic (Advanced) Piston Core,03,BOR,000,,,090,,,detricarbonate clayey silt,reddish brown,5yr 4/3,dropstones (50-80 cm),"highly disturbed (0-18cm and 57-90cm), moderately disturbed",2 dropstones 5 cm across at 55-60 cm and 70-75 cm,,,,,,H,70.45717,-64.65433,0003.00,300,390
