Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassionema nitzschioides,Rossiella paleacea,Crucidenticula nicobarica,Craspedodiscus coscinodiscus,Coscinodiscus marginatus,Coscinodiscus lewisianus,Cestodiscus pulchellus,Cavitatus jouseanus,Asteromphalus elegans,Asterolampra acutiloba,Annellus californicus,Rhizosolenia praebergonii,Odontella aurita,Actinoptychus senarius,Cestodiscus peplum,Thalassiosira tappanae,Azpeitia nodulifera,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum A   ,170,1039,C,  1,R, 4,  20.00,    366.9200,White    ,Diatoms                                      ,A              ,M                 ,A                        ,                           ,F                 ,F                        ,                            ,C                       ,R                       ,F                     ,F                  ,R                    ,                      ,R                    ,                         ,F               ,R                     ,F                 ,R                     ,F                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum A   ,170,1039,C,  2,R,CC,  16.00,    375.8500,White    ,Diatoms                                      ,A              ,M                 ,C                        ,F                          ,F                 ,F                        ,                            ,F                       ,F                       ,                      ,C                  ,                     ,                      ,F                    ,                         ,F               ,R                     ,F                 ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,C. peplum A   ,170,1039,C,  3,R,CC,  16.00,    386.3900,White    ,Diatoms                                      ,A              ,M                 ,C                        ,                           ,F                 ,F                        ,                            ,F                       ,F                       ,                      ,C                  ,R                    ,                      ,R                    ,                         ,                ,                      ,F                 ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,C. nicobarica ,170,1039,C,  4,R,CC,   0.00,    393.6000,White    ,Diatoms                                      ,C              ,M                 ,C                        ,F                          ,F                 ,F                        ,R                           ,F                       ,F                       ,C                     ,C                  ,                     ,                      ,R                    ,                         ,R               ,R                     ,                  ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,C. nicobarica ,170,1039,C,  5,R,CC,  18.00,    403.0600,White    ,Diatoms                                      ,C              ,P                 ,F                        ,                           ,R                 ,F                        ,                            ,F                       ,F                       ,C                     ,R                  ,                     ,                      ,R                    ,R                        ,                ,                      ,                  ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,C. nicobarica ,170,1039,C,  6,R,CC,  16.00,    417.2800,White    ,Diatoms                                      ,A              ,M                 ,C                        ,F                          ,F                 ,F                        ,F                           ,C                       ,F                       ,C                     ,F                  ,R                    ,R                     ,                     ,                         ,                ,                      ,                  ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,C. nicobarica ,170,1039,C,  7,R, 1,  85.00,    421.6500,White    ,Diatoms                                      ,A              ,P                 ,C                        ,F                          ,F                 ,R                        ,R                           ,C                       ,F                       ,C                     ,F                  ,F                    ,F                     ,F                    ,                         ,                ,                      ,                  ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
