Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina mayeri,Globorotalia siakensis,Globorotalia praescitula,Globorotalia peripheroronda,Globoquadrina venezuelana,Globoquadrina dehiscens,Dentoglobigerina altispira,Catapsydrax stainforthi,Jenkinsella bella,Globorotalia birnageae,Globoquadrina baroemoenensis,Globigerinoides trilobus,Globigerinoides subquadratus,Globigerinoides sicanus,Globigerinoides parawoodi,Globigerinoides immaturus,Globigerinoides diminutus,Globigerinoides altiapertura,Globigerinatella insueta,Fohsella peripheroronda,Globigerinoides quadrilobatus,Globigerinoides sacculifer,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,N8            ,170,1039,C,  1,R, 4,  20.00,    366.9200,Ibaraki  ,Planktonic Foraminifers                      ,A              ,G                 ,F                      ,F                     ,P                       ,F                          ,F                        ,R                      ,F                         ,                       ,R                ,F                     ,                            ,F                       ,R                           ,R                      ,                         ,                         ,                         ,                            ,                        ,                       ,                             ,F                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,N8            ,170,1039,C,  2,R,CC,  16.00,    375.8500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,R                      ,R                     ,                        ,                           ,                         ,                       ,                          ,                       ,                 ,                      ,                            ,                        ,R                           ,                       ,                         ,R                        ,                         ,R                           ,                        ,                       ,R                            ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,N8            ,170,1039,C,  3,R,CC,  16.00,    386.3900,Ibaraki  ,Planktonic Foraminifers                      ,C              ,G                 ,F                      ,F                     ,R                       ,                           ,F                        ,R                      ,F                         ,                       ,                 ,R                     ,R                           ,                        ,                            ,R                      ,                         ,                         ,                         ,                            ,                        ,                       ,                             ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,N8            ,170,1039,C,  4,R,CC,   0.00,    393.6000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                       ,                      ,                        ,                           ,                         ,                       ,R                         ,                       ,                 ,R                     ,                            ,R                       ,R                           ,R                      ,R                        ,R                        ,R                        ,R                           ,R                       ,R                      ,                             ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,N8            ,170,1039,C,  5,R,CC,  18.00,    403.0600,Ibaraki  ,Planktonic Foraminifers                      ,C              ,M                 ,F                      ,F                     ,                        ,F                          ,                         ,R                      ,F                         ,                       ,R                ,R                     ,R                           ,                        ,                            ,                       ,                         ,                         ,                         ,                            ,                        ,                       ,                             ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,N8            ,170,1039,C,  6,R,CC,  16.00,    417.2800,Ibaraki  ,Planktonic Foraminifers                      ,C              ,M                 ,F                      ,F                     ,R                       ,F                          ,R                        ,R                      ,R                         ,R                      ,                 ,                      ,                            ,                        ,                            ,                       ,                         ,                         ,                         ,                            ,                        ,                       ,                             ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
