Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus radians,Sphenolithus pseudoradians,Sphenolithus moriformis,Sphenolithus furcatolithoides,Reticulofenestra umbilica,Reticulofenestra samodurovii,Pedinocyclus larvalis,Lanternithus minutus,Holococcolith type A,Helicosphaera reticulata,Helicosphaera compacta,Hayella situliformis,Ericsonia subdisticha,Ericsonia formosa,Discoaster tanii,Discoaster saipanensis,Discoaster nodifer,Discoaster barbadiensis,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cribrocentrum reticulatum,Coronocyclus nitescens,Coccolithus sp.1,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus titus,Calcidiscus protoannulus,Calcidiscus kingii,Bramletteius serraculoides,Braarudosphaera bigelowii,Pontosphaera segmenta,Isthmolithus recurvus,Hayaster perplexus,Discoaster deflandrei,Ericsonia obruta,Micrantholithus flos,Sphenolithus predistentus,Peritrachelina joidesa,Helicosphaera euphratis,Sphenolithus aff. distentus,Discoaster adamanteus,Micrantholithus altus,Cyclicargolithus abisectus,Sphenolithus distentus,Coccolithus miopelagicus,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Sphenolithus aff. ciperoensis,Cruciplacolithus tarquinius,Triquetrorhabdulus milowii,Helicosphaera intermedia,Catinaster umbrellus,Sphenolithus dissimilis,Crassidiscus backmanii,Sphenolithus conicus,Reticulofenestra daviesii,Discoaster asymmetricus,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Pontosphaera spp.,Sphenolithus delphix,Discoaster undefined 6-ray m.,Sphenolithus calyculus,Helicosphaera spp.,Sphenolithus capricornutus,Reticulofenestrid taxa,Geminilithella rotula,Sphenolithus heteromorphus,Dictyococcites spp.,Coccolithus radiatus,Thoracosphaera spp.,Sphenolithus belemnos,Discoaster druggii,Calcidiscus leptoporus,Triquetrorhabdulus backmanii,Sphenolithus dissimilis/belemnos,Syracosphaera spp.,Helicosphaera ampliaperta,Discoaster undefined 6-ray b.,Discoaster undefined 6-ray,Sphenolithus milanettii,Discoaster moorei,Discoaster signus-tuberi,Scyphosphaera spp.,Calcidiscus premacintyrei,Sphenolith (unspecified taxon or taxa),Triquetrorhabdulus rugosus/rioensis,Helicosphaera sellii,Catinaster spp.,Discoaster kugleri,Discoaster undefined 5-ray,Discoaster neohamatus,Discoaster hamatus,Discoaster prepentaradiatus,Minylitha convallis,Discoaster tamalis,Calcidiscus macintyrei,Umbilicosphaera spp.,Discoaster triradiatus,Discoaster bellus,Discoaster quinqueramus/berggrenii,Discoaster pentaradiatus,Discoaster sp. 2,Rhabdosphaera spp.,Amaurolithus primus,Ceratolithus rugosus,Discoaster variabilis,Discoaster brouweri,Amaurolithus amplificus,Discoaster sp. 1,Discoaster intercalaris,Ceratolithus acutus,Amaurolithus tricorniculatus,Reticulofenestra pseudoumbilicus,Gephyrocapsa oceanica s.l.,Discoaster tristellifer,Pseudoemiliania lacunosa,Discoaster decorus,Ceratolithus armatus,Discoaster surculus,Ceratolithus cristatus,Gephyrocapsa (small),Gephyrocapsa sp. 3,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 707,A,  2,H, 1, 130.00,      7.9000,Rio      ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,F                     ,C                    ,                          ,R                  ,F                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,                  ,                         ,                                      ,                                   ,R                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,                      ,                    ,                      ,                 ,                                  ,                        ,                ,F                 ,                   ,                    ,                     ,                   ,                       ,                ,                       ,                   ,                            ,                                ,F                         ,                       ,C                       ,                  ,                    ,                   ,R                     ,C                   ,C                 ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 707,A,  2,H, 2, 130.00,      9.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,                 ,                    ,                             ,                      ,C                 ,                          ,F                     ,F                    ,                          ,R                  ,F                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,                  ,                         ,                                      ,                                   ,R                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,R                     ,                    ,                      ,                 ,                                  ,                        ,                ,F                 ,                   ,                    ,                     ,                   ,                       ,                ,                       ,                   ,                            ,                                ,F                         ,                       ,C                       ,                  ,                    ,                   ,R                     ,C                   ,C                 ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13a             ,              ,115, 707,A,  2,H, 3,  30.00,      9.9000,Rio      ,Nannofossils                                 ,C              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,F                     ,F                    ,                          ,                   ,F                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,                  ,                         ,                                      ,                                   ,F                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,R                     ,                    ,                      ,                 ,                                  ,                        ,                ,F                 ,                   ,                    ,R                    ,                   ,                       ,                ,                       ,                   ,                            ,                                ,F                         ,                       ,C                       ,                  ,                    ,                   ,                      ,C                   ,F                 ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13a             ,              ,115, 707,A,  2,H, 3,  90.00,     10.5000,Rio      ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,F                ,                    ,                             ,                      ,C                 ,                          ,F                     ,F                    ,                          ,                   ,F                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,                  ,                         ,                                      ,                                   ,F                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,                      ,                    ,                      ,                 ,                                  ,                        ,                ,F                 ,                   ,                    ,                     ,                   ,                       ,                ,                       ,                   ,                            ,                                ,C                         ,                       ,A                       ,                  ,                    ,                   ,                      ,C                   ,R                 ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
