leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
80,550,B,LOWER PALEOCENE,,456.0,468.8,MISSING HOLE OR DRILLED INTERVAL,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
80,550,B,UPPER MAESTRICHTIAN ,,468.8,551.0,,NO AGE GIVEN,,NO AGE GIVEN,   65, 67.5,66.25,DSDP INITIAL REPORTS
80,550,B,LOWER MAESTRICHTIAN ,,551.0,560.5,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
80,550,B,LOWER MAESTRICHTIAN ,CAMPANIAN,560.5,575.7,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   78,72.75,DSDP INITIAL REPORTS
80,550,B,SANTONIAN,CONIACIAN,579.5,594.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   78,   86,   82,DSDP INITIAL REPORTS
80,550,B,MIDDLE CENOMANIAN,,594.4,635.0,,NO AGE GIVEN,,NO AGE GIVEN,   95, 97.5,96.25,DSDP INITIAL REPORTS
80,550,B,MIDDLE CENOMANIAN,LOWER CENOMANIAN,635.0,644.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   95,  100, 97.5,DSDP INITIAL REPORTS
80,550,B,LOWER CENOMANIAN,,644.0,653.0,,NO AGE GIVEN,,NO AGE GIVEN, 97.5,  100,98.75,DSDP INITIAL REPORTS
80,550,B,LOWER CENOMANIAN,UPPER ALBIAN,653.0,671.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 97.5,  104,100.8,DSDP INITIAL REPORTS
80,550,B,UPPER ALBIAN,,671.0,689.0,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
