Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prinsius bisulcus	Ellipsolithus macellus	Ellipsolithus distichus	Cruciplacolithus edwardsii	Sphenolithus primus	Placozygus sigmoides	Ericsonia subpertusa	Cruciplacolithus tenuis	Cruciplacolithus primus (large)	Chiasmolithus danicus	Fasciculithus ulii	Fasciculithus pileatus	Fasciculithus magnicordis	Chiasmolithus bidens	Fasciculithus tympaniformis	Chiasmolithus consuetus	Fasciculithus bitectus	Ericsonia cava	Cruciplacolithus frequens	Bomolithus elegans	Ellipsolithus bollii	Sphenolithus anarrhopus	Heliolithus kleinpellii	Heliolithus cantabriae	Neochiastozygus digitosus	Discoaster mohleri	Fasciculithus clinatus	Discoaster robustus	Fasciculithus richardii	Discoaster multiradiatus	Campylosphaera eodela	Toweius tovae	Toweius eminens	Fasciculithus schaubii	Discoaster salisburgensis	Discoaster falcatus	Toweius pertusus	Fasciculithus involutus	Coccolithus pelagicus	Rhomboaster bramlettei	Tribrachiatus digitalis	Rhomboaster contortus	Discoaster diastypus	Tribrachiatus orthostylus	Zygrhablithus bijugatus	Neococcolithes protenus	Coccolithus eopelagicus	Toweius crassus	Lophodolithus nascens	Discoaster lodoensis	Sphenolithus conspicuus	Sphenolithus pseudoradians	Toweius gammation	Lophodolithus reniformis	Discoaster kuepperi	Campylosphaera dela	Rhabdosphaera inflata	Discoaster sublodoensis	Sphenolithus radians	Pseudotriquetrorhabdulus inversus	Discoaster saipanensis	Chiasmolithus solitus	Chiasmolithus expansus	Reticulofenestra dictyoda	Braarudosphaera discula	Braarudosphaera bigelowii	Sphenolithus stellatus	Nannotetrina quadrata	Nannotetrina fulgens	Lophodolithus acutus	Chiasmolithus gigas	Ericsonia formosa	Helicosphaera lophota	Discoaster barbadiensis	Coronocyclus nitescens	Sphenolithus furcatolithoides	Pedinocyclus larvalis	Ericsonia obruta	Chiasmolithus grandis	Nannotetrina pappii	Discoaster strictus	Prediscosphaera grandis	Sphenolithus furcatolithoides labradorensis	Rhabdosphaera tenuis	Reticulofenestra umbilica	Discoaster tanii ornatus	Blackites spinosus	Sphenolithus spiniger	Discoaster bifax	Sphenolithus moriformis	Ellipsolithus lajollaensis	Micrantholithus pinguis	Markalius inversus	Pemma papillatum	Sphenolithus obtusus	Discoaster tanii	Comment



  IR	                 	Middle Eocene    	                  	CP14b         	171	1050	A	  1	X	 1	   0.00	      0.0000	Watkins  	Nannofossils                                 	C              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	                     	                      	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	+               	                       	                          	                       	                  	                	+                   	+               	lack of C. reticulatum suggests lower CP14b. Base of zone based on absence of C. solitus, few specimens of D. bifax may be reworked.

  IR	                 	Middle Eocene    	                  	CP14a         	171	1050	A	  1	X	 1	  57.00	      0.5700	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	C                    	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	R                  	                     	                       	R                   	F                                	R                     	R                    	                      	C                        	F                      	F                        	                      	                     	                    	                    	                   	F                	                     	                       	                      	F                            	                     	                	                     	                   	                   	                       	                                           	                    	R                        	                        	                  	                     	                	                       	                          	R                      	R                 	C               	                    	                	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1050	A	  1	X	 3	  67.00	      3.6700	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	F                    	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	R                                	R                     	R                    	R                     	A                        	C                      	R                        	                      	                     	                    	                    	                   	C                	                     	                       	R                     	F                            	                     	R               	R                    	                   	                   	                       	                                           	                    	R                        	                        	                  	F                    	                	                       	                          	                       	R                 	F               	                    	                	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1050	A	  1	X	 4	  67.00	      5.1700	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	R                         	                 	                        	                   	R                  	                     	                       	                    	                                 	R                     	R                    	                      	A                        	A                      	F                        	                      	                     	                    	                    	                   	C                	                     	                       	R                     	F                            	                     	R               	                     	                   	                   	                       	                                           	                    	R                        	                        	                  	                     	R               	                       	                          	R                      	R                 	                	                    	                	       
