Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina peregrina,Pyrgo spp.,Nuttallides umbonifera,Melonis pompilioides,Bulimina marginata,Fontbotia wuellerstorfi,Globobulimina affinis,Bulimina aculeata,Pullenia bulloides,Oridorsalis umbonatus,Valvulineria laevigata,Epistominella exigua,Cassidulina carinata,Lagena spp.,Gyroidinoides spp.,Chilostomella oolina,Uvigerina senticosa,Melonis sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A,  1,H,CC,  12.00,      9.0300,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,C                  ,          ,                      ,F                   ,                  ,                       ,C                    ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A,  2,H,CC,  20.00,     18.9400,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,C                  ,          ,                      ,F                   ,                  ,                       ,C                    ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,C                   ,T                  ,T          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A,  3,H,CC,  23.00,     28.3200,Poli     ,Benthic Foraminifers                         ,R              ,P                 ,                   ,          ,                      ,4                   ,                  ,                       ,5                    ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,1                   ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A,  4,H,CC,  27.00,     38.1600,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                  ,          ,                      ,R                   ,                  ,                       ,C                    ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,F                   ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A,  5,H,CC,  26.00,     47.5700,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,3                  ,          ,                      ,                    ,                  ,                       ,                     ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A,  6,H,CC,  24.00,     57.1200,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,A                  ,          ,                      ,                    ,                  ,                       ,C                    ,                 ,                  ,T                    ,                      ,                    ,                    ,           ,                  ,T                   ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
