Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Helicosphaera carteri,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
IR,,,,NN21,180,1110,B,1,H,CC,27.00,5.0500,Takahashi,Nannofossils,A,VG,F,A,C,C,F,
,,,,,,,,,,,,,,,,,,,,,,
IR,,,NN20,NN21,180,1110,B,2,X,CC,6.00,5.1600,Takahashi,Nannofossils,A,G,F,A,C,C,C,
,,,,,,,,,,,,,,,,,,,,,,
