Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulina spinosa,Uvigerina spp.,Uvigerina spinicostata,Uvigerina hispidocostata,Uvigerina havanensis,Uvigerina graciliformis,Uvigerina elongata,Turrilina robertsi/brevispira,Turrilina alsatica,Tritaxia spp.,Trifarina sp.,Tappanina selmensis,Stilostomella spp.,Stensioina beccariiformis,Spiroplectammina spectabilis,Siphotextularia sp.,Rhabdammina/Hyperammina (unspecified taxon or taxa),Rectuvigerina sp.,Rectuvigerina multicostata,Quadrimorphina spp.,Pyramidina rudita,Pullenia subcarinata,Pullenia quinqueloba,Pullenia eocaenica,Pullenia coryelli,Pullenia bulloides,Pleurostomella sp.,Plectofrondicularia sp.,Plectina elongata,Osangularia velascoensis,Osangularia mexicana,Osangularia culter,Orthomorphina sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Nuttallides truempyi,Nonion sp. 6,Nonion havanensis,Nodosaria sp.,Neoeponides hillebrandti,Neoeponides cf. lunata,Melonis affinis,Martinottiella nodulosa,Marginulina spp.,Lenticulina whitei,Lenticulina spp.,Lenticulina sp. 1,Laticarinina pauperata,Lagena sp.,Karreriella subglabra,Karreriella spp.,Karreriella chapapotensis,Karreriella bradyi,Hanzawaia spp.,Hanzawaia cushmani,Gyroidinoides spp.,Gyroidinoides soldanii,Gyroidina spp.,"Gyroidina sp. ""small""",Gyroidina lamarckiana,Glomospira charoides,Globocassidulina subglobosa,Gavelinella danica,Gaudryina cf. laevigata,Fursenkoina spp.,Fissurina spp.,Eponides sp. 31,Epistominella exigua,Eggerella sp.,Eggerella bradyi,Dentalina spp.,Coryphostoma midwayensis,Cibicidoides velascoensis,Cibicidoides subspiratus,Cibicidoides sp.,Cibicidoides praemundulus,Cibicidoides pachyderma,Cibicidoides mundulus,Cibicidoides micrus,Cibicidoides laurisae,Cibicidoides eocaenus,Cibicidoides cicatricosus,Cibicidoides bradyi,Cassidulina havanensis,Cassidulina cf. havanense,Buliminella grata,Bulimina trinitatensis,Bulimina trihedra,Bulimina thanetensis,Bulimina striata,Bulimina spp.,Bulimina semicostata,Bulimina navarroensis,Bulimina macilenta,Bulimina jarvisi,Bulimina elongata,Bulimina bradburyi,Bulimina alazanensis,Bolivinoides delicatulus,Bolivina spp.,Astrononion pusillum,Aragonia velascoensis,Aragonia aragonensis,Anomalinoides spp.,Anomalinoides spissiformis,Anomalinoides semicribratus,Anomalinoides capitatus,Anomalina praeacuta,Alabamina dissonata,Alabamina creta,Abyssamina poagi,Lenticulina sp. 5,Bolivina cf. thalmanni,Tritaxia? sp.,Saccorhiza ramosa,Fursenkoina sp. 27,Cassidulina ?cressa or ?crassa,Karreriella sp.,Turrilina robertsi,Trilarina sp. 18,Melonis sp.,Karreriella alticamerata,Gavelinopsis lobatulus,Cibicidoides sp. 50,rugosa rugosa,Valvulineria mexicana,Bulimina sp. 3 (kant),Melonis spp.,Pullenia sp. 52,Orthomorphina glandigena,Astrononion stelligerum,Reophax sp.,Cyclammina spp.,Cribrostomoides subglobosus,Fursenkoina earlandi,Bolivina silvestri,Nonionella iridea & spp.iridea & spp.,Cibicides ?boueana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 13,H, 2,  72.00,    106.8200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.2%              ,6.6%          ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,10.7%             ,.0%          ,.0%          ,.0%                ,5.8%              ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,1.9%                ,                    ,.0%               ,.2%              ,6.3%              ,.0%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,2.7%                 ,.7%                   ,.0%                 ,2.9%        ,.0%              ,.2%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,1.2%            ,                 ,.0%                   ,.5%       ,.5%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,4.1%              ,1.0%                  ,.0%           ,1.2%                 ,1.9%                 ,.0%                 ,.7%                        ,.0%               ,.0%                    ,.0%             ,.7%           ,.0%            ,.0%                 ,.0%          ,1.0%            ,.5%           ,.0%                     ,.0%                      ,.0%                     ,4.4%            ,.0%                      ,.0%                    ,6.6%                 ,.0%                ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.5%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,2.9%                ,.0%                     ,.0%          ,33.7%               ,.0%                  ,.0%                 ,.0%               ,.0%                       ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0.2%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 13,H,CC,  11.00,    114.5700,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,1.5%          ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,6.9%              ,.0%          ,.0%          ,.0%                ,21.1%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,1.9%                ,                    ,.0%               ,.0%              ,8.4%              ,1.9%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,5.7%                 ,.0%                   ,.0%                 ,.0%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,2.3%            ,                 ,.0%                   ,.4%       ,.0%                  ,.0%             ,.0%                      ,4.6%              ,.0%           ,.0%               ,.0%               ,.0%                   ,12.6%         ,.0%                  ,4.6%                 ,.0%                 ,.4%                        ,.0%               ,.0%                    ,.0%             ,2.3%          ,.0%            ,.0%                 ,.0%          ,.0%             ,.4%           ,.0%                     ,.0%                      ,.0%                     ,9.6%            ,.0%                      ,.0%                    ,.0%                  ,.0%                ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,3.1%                ,.0%                  ,.0%                 ,.0%               ,9.2%                      ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,2            ,                     ,3                    ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 1.1%; All others = 1.9%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 14,H, 2,  72.00,    116.3200,Mackensen,Benthic Foraminifers                         ,               ,                  ,2.6%             ,.0%           ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,2.6%              ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,.0%                 ,                    ,.0%               ,.0%              ,5.3%              ,2.6%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,2.6%             ,13.2%                ,.0%                   ,.0%                 ,.0%         ,.0%              ,2.6%         ,.0%                     ,.0%                   ,.0%            ,2.6%                   ,.0%             ,.0%               ,2.6%            ,                 ,.0%                   ,2.6%      ,5.3%                 ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.0%               ,.0%                   ,.0%           ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,2.6%          ,.0%            ,.0%                 ,2.6%         ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,31.6%           ,.0%                      ,.0%                    ,10.5%                ,.0%                ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,2.6%                ,.0%                  ,.0%                 ,.0%               ,2.6%                      ,.0%                        ,.0%                    ,.0%                ,2.6%               ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 14,H, 5,  72.00,    120.8200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.3%              ,19.9%         ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.6%               ,.0%          ,.0%          ,.0%                ,3.1%              ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,3.7%                ,                    ,.0%               ,.0%              ,8.1%              ,.9%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.6%               ,2.5%             ,15.6%                ,2.2%                  ,.0%                 ,.0%         ,.6%              ,.3%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.3%             ,                 ,.0%                   ,.3%       ,1.2%                 ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,3.1%              ,1.6%                  ,.3%           ,1.2%                 ,.0%                  ,.0%                 ,.3%                        ,.0%               ,.0%                    ,.0%             ,.9%           ,.0%            ,.0%                 ,.0%          ,.3%             ,.6%           ,.0%                     ,.0%                      ,.0%                     ,3.7%            ,.0%                      ,.0%                    ,19.0%                ,.0%                ,.6%                  ,.0%                  ,                         ,.3%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.3%                 ,.0%                  ,.0%                 ,.0%               ,5.9%                      ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,2            ,1                    ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0.3%; All others = 0.9%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 14,H,CC,  11.00,    123.4300,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,.0%           ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.9%               ,.0%          ,.0%          ,.0%                ,14.8%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,3.8%                ,6                   ,.0%               ,.0%              ,6.9%              ,5.7%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,11.7%                ,.6%                   ,.0%                 ,.3%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,2.2%           ,.0%                    ,.0%             ,.0%               ,1.6%            ,                 ,.0%                   ,.0%       ,.0%                  ,.0%             ,.0%                      ,1.9%              ,.0%           ,.0%               ,.0%               ,.0%                   ,9.1%          ,.0%                  ,.0%                  ,.0%                 ,.6%                        ,.0%               ,.0%                    ,.0%             ,.9%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.9%           ,.0%                     ,.0%                      ,.0%                     ,22.4%           ,.0%                      ,.0%                    ,.0%                  ,.9%                ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.6%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.3%                 ,.0%                  ,.0%                 ,.0%               ,3.8%                      ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,7          ,7                       ,4                     ,6                  ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 1.6%; All others = 8.2%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 15,H, 2,  72.00,    125.8200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,.0%           ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,20.5%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,.0%                 ,                    ,.0%               ,.0%              ,10.3%             ,2.6%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,2.6%             ,2.6%                 ,2.6%                  ,.0%                 ,.0%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.0%             ,                 ,.0%                   ,.0%       ,2.6%                 ,.0%             ,2.6%                     ,.0%               ,.0%           ,.0%               ,5.1%              ,7.7%                  ,.0%           ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,7.7%            ,.0%                      ,.0%                    ,20.5%                ,2.6%               ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,2.6%                      ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,1                     ,             ,                 ,                  ,                              ,1              ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 7.7%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 15,H,CC,  18.00,    133.3900,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,.0%           ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,1.4%                         ,.0%               ,.0%          ,7.9%         ,.0%                ,9.3%              ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,2.9%                ,                    ,4.3%              ,.0%              ,.0%               ,1.4%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,5.0%                 ,5.0%                  ,.0%                 ,.0%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,3.6%            ,                 ,.0%                   ,1.4%      ,.0%                  ,.0%             ,3.6%                     ,.0%               ,.0%           ,3.6%              ,3.6%              ,.0%                   ,.0%           ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.7%             ,1.4%          ,.0%            ,.0%                 ,.0%          ,.0%             ,2.9%          ,.0%                     ,.0%                      ,.0%                     ,25.7%           ,.0%                      ,.0%                    ,.0%                  ,6.4%               ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.7%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,5.7%                      ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,2            ,                 ,                  ,1                             ,7              ,2                 ,11              ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 2.9%; All others = 0.7%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 16,H,CC,  18.00,    142.2500,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,.0%           ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,6.6%              ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,.4%                 ,1                   ,.4%               ,.0%              ,.0%               ,.4%               ,.0%                    ,.0%              ,.0%                     ,1.8%                ,.0%               ,.0%              ,1.8%                 ,8.8%                  ,2.6%                ,1.1%        ,.0%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.0%             ,                 ,.0%                   ,.4%       ,.0%                  ,.0%             ,.7%                      ,.0%               ,.0%           ,1.5%              ,.0%               ,.0%                   ,.4%           ,.0%                  ,.7%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.4%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,18.4%                    ,.0%                    ,.0%                  ,.0%                ,.0%                  ,6.6%                 ,                         ,.0%                ,50                    ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,43.4%            ,.0%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,2.2%                      ,.0%                        ,.4%                    ,.0%                ,.4%                ,.0%            ,.0%             ,                 ,                      ,1            ,                 ,2                 ,                              ,24             ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0.7%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 17,H,CC,  15.00,    152.4700,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,.0%           ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,26.9%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,1.4%                ,                    ,.5%               ,.0%              ,.0%               ,.9%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,4.1%                 ,.0%                   ,.5%                 ,.0%         ,.0%              ,1.4%         ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,3.7%            ,                 ,.0%                   ,.9%       ,.0%                  ,.0%             ,1.8%                     ,.0%               ,.0%           ,.0%               ,.0%               ,.0%                   ,2.7%          ,.0%                  ,.5%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,3.2%          ,.0%            ,.0%                 ,.0%          ,.0%             ,1.8%          ,.0%                     ,.0%                      ,.0%                     ,.0%             ,12.3%                    ,.0%                    ,.0%                  ,.9%                ,.9%                  ,.0%                  ,                         ,.0%                ,27                    ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,31.5%            ,.0%               ,.5%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,.5%                       ,.0%                        ,.9%                    ,.0%                ,.5%                ,.0%            ,.0%             ,                 ,                      ,7            ,                 ,1                 ,1                             ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 1.4%; All others = 0.5%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 18,H,CC,  19.00,    162.0800,Mackensen,Benthic Foraminifers                         ,               ,                  ,2.0%             ,.0%           ,                      ,.0%                     ,.0%                 ,.0%                    ,1.0%              ,.0%                          ,.0%               ,.0%          ,1.0%         ,.0%                ,15.2%             ,.0%                      ,2.0%                        ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,3.0%                ,                    ,2.0%              ,.0%              ,.0%               ,2.0%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,.0%                  ,.0%                   ,.0%                 ,2.0%        ,.0%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,14.1%           ,                 ,.0%                   ,1.0%      ,.0%                  ,.0%             ,1.0%                     ,.0%               ,.0%           ,2.0%              ,.0%               ,.0%                   ,4.0%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,1.0%          ,.0%            ,.0%                 ,.0%          ,.0%             ,8.1%          ,.0%                     ,.0%                      ,5.1%                    ,2.0%            ,1.0%                     ,.0%                    ,.0%                  ,6.1%               ,.0%                  ,9.1%                 ,2                        ,.0%                ,1                     ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,1.0%         ,.0%                 ,.0%                  ,.0%               ,.0%             ,4.0%             ,.0%               ,5.1%                ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,2.0%                      ,.0%                        ,1.0%                   ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,1            ,1                ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 1%; All others = 1%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 19,H,CC,  14.00,    171.2200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.3%              ,.0%           ,                      ,.0%                     ,.0%                 ,.0%                    ,5.5%              ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,18.6%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,.3%                 ,1                   ,2.0%              ,.0%              ,.0%               ,1.7%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,7.0%                 ,.0%                   ,.0%                 ,1.4%        ,.0%              ,.3%          ,.0%                     ,.6%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,16.2%           ,47               ,.0%                   ,.3%       ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.9%               ,.0%               ,.0%                   ,3.5%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,.0%             ,2.3%          ,.0%                     ,.0%                      ,.6%                     ,.0%             ,.0%                      ,.0%                    ,.0%                  ,3.2%               ,2.0%                 ,17.7%                ,1                        ,4.9%               ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.6%               ,.0%             ,.6%              ,3.5%              ,.9%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,2.9%                      ,.0%                        ,.9%                    ,.0%                ,1.2%               ,.0%            ,.0%             ,9                ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
