Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulina spinosa,Uvigerina spp.,Uvigerina spinicostata,Uvigerina hispidocostata,Uvigerina havanensis,Uvigerina graciliformis,Uvigerina elongata,Turrilina robertsi/brevispira,Turrilina alsatica,Tritaxia spp.,Trifarina sp.,Tappanina selmensis,Stilostomella spp.,Stensioina beccariiformis,Spiroplectammina spectabilis,Siphotextularia sp.,Rhabdammina/Hyperammina (unspecified taxon or taxa),Rectuvigerina sp.,Rectuvigerina multicostata,Quadrimorphina spp.,Pyramidina rudita,Pullenia subcarinata,Pullenia quinqueloba,Pullenia eocaenica,Pullenia coryelli,Pullenia bulloides,Pleurostomella sp.,Plectofrondicularia sp.,Plectina elongata,Osangularia velascoensis,Osangularia mexicana,Osangularia culter,Orthomorphina sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Nuttallides truempyi,Nonion sp. 6,Nonion havanensis,Nodosaria sp.,Neoeponides hillebrandti,Neoeponides cf. lunata,Melonis affinis,Martinottiella nodulosa,Marginulina spp.,Lenticulina whitei,Lenticulina spp.,Lenticulina sp. 1,Laticarinina pauperata,Lagena sp.,Karreriella subglabra,Karreriella spp.,Karreriella chapapotensis,Karreriella bradyi,Hanzawaia spp.,Hanzawaia cushmani,Gyroidinoides spp.,Gyroidinoides soldanii,Gyroidina spp.,"Gyroidina sp. ""small""",Gyroidina lamarckiana,Glomospira charoides,Globocassidulina subglobosa,Gavelinella danica,Gaudryina cf. laevigata,Fursenkoina spp.,Fissurina spp.,Eponides sp. 31,Epistominella exigua,Eggerella sp.,Eggerella bradyi,Dentalina spp.,Coryphostoma midwayensis,Cibicidoides velascoensis,Cibicidoides subspiratus,Cibicidoides sp.,Cibicidoides praemundulus,Cibicidoides pachyderma,Cibicidoides mundulus,Cibicidoides micrus,Cibicidoides laurisae,Cibicidoides eocaenus,Cibicidoides cicatricosus,Cibicidoides bradyi,Cassidulina havanensis,Cassidulina cf. havanense,Buliminella grata,Bulimina trinitatensis,Bulimina trihedra,Bulimina thanetensis,Bulimina striata,Bulimina spp.,Bulimina semicostata,Bulimina navarroensis,Bulimina macilenta,Bulimina jarvisi,Bulimina elongata,Bulimina bradburyi,Bulimina alazanensis,Bolivinoides delicatulus,Bolivina spp.,Astrononion pusillum,Aragonia velascoensis,Aragonia aragonensis,Anomalinoides spp.,Anomalinoides spissiformis,Anomalinoides semicribratus,Anomalinoides capitatus,Anomalina praeacuta,Alabamina dissonata,Alabamina creta,Abyssamina poagi,Lenticulina sp. 5,Bolivina cf. thalmanni,Tritaxia? sp.,Saccorhiza ramosa,Fursenkoina sp. 27,Cassidulina ?cressa or ?crassa,Karreriella sp.,Turrilina robertsi,Trilarina sp. 18,Melonis sp.,Karreriella alticamerata,Gavelinopsis lobatulus,Cibicidoides sp. 50,rugosa rugosa,Valvulineria mexicana,Bulimina sp. 3 (kant),Melonis spp.,Pullenia sp. 52,Orthomorphina glandigena,Astrononion stelligerum,Reophax sp.,Cyclammina spp.,Cribrostomoides subglobosus,Fursenkoina earlandi,Bolivina silvestri,Nonionella iridea & spp.iridea & spp.,Cibicides ?boueana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 10,H,CC,  15.00,     84.2900,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,2.7%          ,                      ,28.0%                   ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,14.7%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,18.0%                     ,.0%                ,.0%              ,.0%                 ,                    ,.0%               ,.0%              ,.7%               ,.0%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,1.3%                 ,.7%                   ,.0%                 ,.7%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,1.3%            ,                 ,9.3%                  ,.7%       ,.0%                  ,.0%             ,.0%                      ,.7%               ,.0%           ,.7%               ,.0%               ,.0%                   ,4.0%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.0%           ,.0%            ,.0%                 ,.0%          ,2.0%            ,.0%           ,.0%                     ,.0%                      ,.0%                     ,2.0%            ,5.3%                     ,.0%                    ,.0%                  ,.0%                ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,2.7%              ,.0%                       ,.0%                        ,.7%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,1          ,1              ,2                          ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0%; All others = 4%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 11,H, 2,  72.00,     87.8200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.3%              ,.0%           ,                      ,15.9%                   ,.0%                 ,.8%                    ,.0%               ,.0%                          ,1.0%              ,.0%          ,.0%          ,.0%                ,5.4%              ,.0%                      ,.0%                         ,.5%                ,.0%                                                ,                 ,.5%                       ,.0%                ,.0%              ,.8%                 ,                    ,.0%               ,.0%              ,1.8%              ,.5%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,5.9%                 ,4.6%                  ,.0%                 ,.5%         ,.5%              ,.5%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.8%             ,                 ,3.1%                  ,.5%       ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,8.7%              ,1.3%                  ,.0%           ,1.0%                 ,.8%                  ,.0%                 ,1.0%                       ,.0%               ,.0%                    ,.0%             ,1.3%          ,.0%            ,.0%                 ,.0%          ,.3%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,6.9%            ,.0%                      ,.5%                    ,5.6%                 ,.0%                ,.0%                  ,.0%                  ,                         ,2.3%               ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.5%             ,.3%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,23.8%               ,.0%                  ,.0%                 ,.0%               ,.0%                       ,.5%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,1            ,                     ,                     ,            ,               ,                        ,2                      ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0.3%; All others = 0.8%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 11,H,CC,  14.00,     95.6600,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,1.1%          ,                      ,.0%                     ,.0%                 ,9.6%                   ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,6.2%              ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,.0%                 ,                    ,.0%               ,.0%              ,2.3%              ,4.5%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,2.8%                 ,3.4%                  ,.0%                 ,1.1%        ,.0%              ,.0%          ,.0%                     ,.0%                   ,1.7%           ,.0%                    ,.0%             ,.0%               ,.0%             ,                 ,5.1%                  ,.0%       ,.0%                  ,.0%             ,.0%                      ,.6%               ,.0%           ,.0%               ,.0%               ,.0%                   ,10.2%         ,.0%                  ,.0%                  ,.0%                 ,.6%                        ,.0%               ,.0%                    ,.0%             ,.6%           ,.0%            ,.0%                 ,.6%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,.0%                      ,6.2%                   ,31.1%                ,.0%                ,.0%                  ,.0%                  ,                         ,.0%                ,1                     ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,7.9%                ,.0%                  ,.0%                 ,.0%               ,.0%                       ,.0%                        ,.6%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,3          ,                        ,                      ,                   ,             ,                     ,                     ,            ,1              ,1                       ,1                      ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 1.7%; All others = 2.3%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 12,H, 2,  72.00,     97.3200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,2.1%          ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.9%               ,.0%          ,.0%          ,.0%                ,18.3%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,.4%                 ,                    ,.0%               ,.0%              ,4.7%              ,.4%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.4%               ,.0%              ,6.0%                 ,5.1%                  ,.0%                 ,.0%         ,.0%              ,.4%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.4%             ,                 ,2.1%                  ,.9%       ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,1.7%              ,.9%                   ,.0%           ,.0%                  ,.0%                  ,.0%                 ,5.1%                       ,.0%               ,.0%                    ,.0%             ,.4%           ,.0%            ,.0%                 ,.0%          ,.4%             ,.4%           ,.0%                     ,.0%                      ,.0%                     ,3.4%            ,.0%                      ,.0%                    ,16.2%                ,.0%                ,.0%                  ,.0%                  ,                         ,1.3%               ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,1.7%         ,.0%                 ,.0%                  ,.0%               ,.0%             ,.9%              ,.0%               ,.9%                 ,.0%                     ,.0%          ,22.1%               ,.0%                  ,.0%                 ,.9%               ,.0%                       ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0.4%; All others = 1.3%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 12,H,CC,  11.00,    104.9200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,6.5%          ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,16.9%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,1.3%                      ,.0%                ,.0%              ,3.9%                ,3                   ,.0%               ,.0%              ,2.6%              ,1.3%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,1.3%              ,.0%              ,5.2%                 ,2.6%                  ,.0%                 ,.0%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,1.3%           ,.0%                    ,.0%             ,.0%               ,1.3%            ,                 ,7.8%                  ,1.3%      ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.0%               ,.0%                   ,2.6%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,2.6%          ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,28.6%                    ,7.8%                   ,.0%                  ,.0%                ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,2.6%                ,.0%                  ,.0%                 ,.0%               ,.0%                       ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,1          ,                        ,                      ,                   ,             ,                     ,                     ,2           ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0%; All others = 2.6%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
