Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra pseudogammation,Reticulofenestra hillae,Neococcolithes dubius,Ericsonia formosa,Discoaster tanii nodifer,Coccolithus pelagicus,Chiasmolithus solitus,Chiasmolithus expansus,Nannotetrina cristata,Discoaster barbadiensis,Coccolithus eopelagicus,Chiasmolithus grandis,Reticulofenestra samodurovii,Reticulofenestra hampdenensis,Reticulofenestra floridana,Reticulofenestra reticulata,Reticulofenestra hesslandii,Lanternithus minutus,Reticulofenestra oamaruensis,Discoaster tanii,Markalius inversus,Discoaster strictus,Blackites tenuis,Pseudotriquetrorhabdulus inversus,Reticulofenestra onusta,Discoaster sp. (overgrown),Discoaster distinctus,Coccolithus formosus,Blackites spinosus,Sphenolithus (all Sphenolithus taxa),Helicosphaerid (all Helicosphaerid taxa),Discoaster (all Discoaster taxa),Chiasmoliths (all Chiasmolith taxa),Reticulofenestra daviesii,Braarudosphaera bigelowii,Pontosphaera sp.,Discoaster saipanensis,Helicosphaera compacta,Chiasmolithus titus,Discoaster binodosus,Chiasmolithus altus,Clausicoccus fenestratus,Chiasmolithus oamaruensis,Scampanella sp.,Pontosphaera versa,Reticulofenestra bisecta,Helicopontosphaera reticulata,Reticulofenestra abisecta,Markalius apertus,Isthmolithus recurvus,Cyclicargolithus floridanus,Clausicoccus subdistichus,Discoaster deflandrei,Cyclicargolithus abisectus,Coccolithus pelagicus floralis,Reticulofenestra gelida,Reticulofenestra pseudoumbilica,Discoaster sp.,Helicosphaera sp.,Calcidiscus leptoporus,Reticulofenestra producta,Reticulofenestra perplexa,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12              ,CN14          ,120, 748,B,  2,H, 3,   5.00,      3.1500,Wei      ,Nannofossils                                 ,R              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,R                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,rR                 ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,                       ,                               ,              ,                 ,                      ,                         ,                         ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,Pliocene         ,CN4               ,CN11          ,120, 748,B,  2,H, 7,  58.00,      9.6800,Wei      ,Nannofossils                                 ,C              ,M                 ,                       ,                       ,rR                       ,                                ,                       ,                     ,                 ,                        ,C                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,rR                 ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,F                      ,                               ,              ,                 ,                      ,                         ,F                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,Pliocene         ,CN4               ,CN11          ,120, 748,B,  3,H, 1, 129.00,     10.8900,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,rR                       ,                                ,                       ,                     ,                 ,                        ,V                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,rR                 ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,F                      ,                               ,              ,                 ,                      ,                         ,V                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,Pliocene         ,CN4               ,CN11          ,120, 748,B,  3,H, 2,  10.00,     11.2000,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,V                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,rR                         ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,rR                 ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,R                      ,                               ,              ,                 ,                      ,                         ,A                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
