Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,planktonics miscellaneous,Candeina nitida,Orbulina universa,Neogloboquadrina pachyderma,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerinella cf. pseudobesa,Globigerina bulloides,Orbulina suturalis,Neogloboquadrina continuosa,Globorotalia scitula,Globigerinoides trilobus,Globigerinella pseudobesa,Globigerina cf. bulloides,Orbulina bilobata,Globigerina woodi,Globigerinoides obliquus,Neogloboquadrina cf. pachyderma,Globigerina quinqueloba,Globorotalia hirsuta,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia inflata,Globigerinoides ruber,Globigerinoides sacculifer,Globigerina cf. quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,174,1072,A,  9,R,CC,   0.00,     65.0000,Olson    ,Planktonic Foraminifers                      ,C              ,VG                ,2                        ,               ,                 ,6                          ,                             ,+                        ,                       ,10                           ,                     ,+                 ,                           ,                    ,                        ,1                        ,                         ,                 ,                 ,+                       ,+                              ,7                      ,                    ,+                         ,+                            ,5                   ,+                    ,+                         ,6                          ,P/B=57% benthics=A quartz=R-C mica=C-A pyrite=C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 10,R,CC,   0.00,     70.2200,Olson    ,Planktonic Foraminifers                      ,C              ,VG                ,7                        ,               ,+                ,6                          ,                             ,                         ,3                      ,2                            ,+                    ,                  ,                           ,                    ,                        ,4                        ,                         ,                 ,                 ,1                       ,                               ,19                     ,                    ,+                         ,                             ,4                   ,1                    ,                          ,                           ,P/B=23% Benthics=A Qtz=R-C Mica=C-A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 11,R,CC,   0.00,     71.1200,Olson    ,Planktonic Foraminifers                      ,C              ,VG                ,4                        ,               ,                 ,8                          ,                             ,+                        ,+                      ,5                            ,                     ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,11                     ,                    ,1                         ,1                            ,7                   ,3                    ,                          ,                           ,P/B=7% Benthics=A Qtz=R-C Mica=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 12,R,CC,   0.00,     75.2000,Olson    ,Planktonic Foraminifers                      ,F              ,VG                ,5                        ,               ,                 ,5                          ,1                            ,                         ,                       ,5                            ,                     ,                  ,                           ,                    ,                        ,                         ,1                        ,                 ,                 ,                        ,                               ,6                      ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=17% Benthics=C Qtz=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 15,R,CC,   0.00,     90.5300,Olson    ,Planktonic Foraminifers                      ,T              ,                  ,                         ,               ,                 ,                           ,                             ,                         ,                       ,                             ,                     ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,1                              ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=5-10% benthics=R slumped interval quartz=A mica=A glauconite=R black stuff=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 16,R,CC,   0.00,     95.1400,Olson    ,Planktonic Foraminifers                      ,T              ,                  ,                         ,               ,+                ,                           ,                             ,                         ,                       ,                             ,+                    ,                  ,                           ,                    ,+                       ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B= Benthics=T Qtz=A Mica=A-C Glauconite=R Carbonaceous=C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 17,R,CC,   8.00,    101.9600,Olson    ,Planktonic Foraminifers                      ,T              ,                  ,1                        ,               ,                 ,                           ,                             ,                         ,                       ,                             ,                     ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=20% Benthics=R Qtz=A-C Mica=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 20,R,CC,  19.00,    116.8000,Olson    ,Planktonic Foraminifers                      ,T              ,P                 ,                         ,               ,                 ,                           ,                             ,                         ,                       ,1                            ,                     ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=14% Benthics=R Qtz=A Mica=A Glauconite=R-C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
