Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia panda,Globorotalia juanai,Globigerinita glutinata,Globigerina woodi,Globigerina bulloides,Globigerina cf. bulloides,Globigerinita uvula,Globigerinella obesa,Globorotalia scitula,Globorotalia cibaoensis,Neogloboquadrina pachyderma,Globigerina cf. woodi,Globigerina eamesi,Orbulina universa,Globigerina quinqueloba,Globorotalia conoidea,Neogloboquadrina cf. continuosa,Globorotalia miozea,Globorotalia sp. (=Menardella),Globorotalia theyeri,Globigerina falconensis,Globigerinita cf. uvula,Globigerina decoraperta,Globigerina clarkei,Globorotalia sphericomiozea,Globorotalia sp. cf. G.pliozea,Globorotalia puncticulata puncticulata,Globorotalia crassula,Globorotalia anfracta,Neogloboquadrina pachyderma (sin.),Globorotalia puncticulata,Neogloboquadrina pachyderma (dex.),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,B,  4,H, 2,  40.00,     27.6000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,                 ,12.6%                ,                         ,.5%                ,                    ,                    ,                       ,                           ,                     ,                  ,                 ,1.4%                   ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,83.0%                             ,2.0%                     ,.5%                               ,391 700 specimens per 10g; from ODP Leg 114 SR Chapter 11 Table 4 p.222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,B,  4,H, 4,  40.00,     30.6000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,                 ,21.0%                ,                         ,.5%                ,                    ,                    ,                       ,                           ,                     ,                  ,                 ,1.4%                   ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,77.0%                             ,.5%                      ,                                  ,61 000 specimens per 10g; from ODP Leg 114 SR Chapter 11 Table 4 p.222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,B,  4,H, 6,  40.00,     33.6000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,                 ,1.3%                 ,                         ,                   ,                    ,                    ,                       ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,97.0%                             ,1.7%                     ,                                  ,96 700 specimens per 10g; from ODP Leg 114 SR Chapter 11 Table 4 p.222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,B,  5,H, 1, 115.00,     36.3500,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,                 ,13.0%                ,                         ,.2%                ,                    ,                    ,                       ,                           ,                     ,                  ,                 ,2.6%                   ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,78.0%                             ,6.0%                     ,                                  ,400 000 specimens per 10g; from ODP Leg 114 SR Chapter 11 Table 4 p.222
