Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys wolffii,Stichocorys delmontensis,Dorcadospyris simplex,Didymocyrtis violina,Didymocyrtis tubaria,Didymocyrtis prismatica,Cyrtocapsella tetrapera,Calocycletta virginis,Calocycletta costata,Cyrtocapsella cornuta,Pterocanium sp.,Didymocyrtis mammifera,Didymocyrtis laticonus,Diartus petterssoni,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,124, 771,A,  7,R, 2, 117.00,    195.8700,Scherer  ,Radiolarians                                 ,R              ,                  ,                   ,R                       ,                     ,                    ,                    ,                       ,                       ,                     ,                    ,                     ,               ,                      ,R                     ,                   ,pyritized shells from ODP Leg 124 SR Chapter 26 Table 3 p 364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,124, 771,A,  7,R, 2, 123.00,    195.9300,Scherer  ,Radiolarians                                 ,R              ,                  ,                   ,F                       ,                     ,                    ,                    ,                       ,                       ,                     ,                    ,                     ,               ,                      ,F                     ,R                  ,pyritized shells from ODP Leg 124 SR Chapter 26 Table 3 p 364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 771,A, 10,R, 3,  73.00,    226.0300,Scherer  ,Radiolarians                                 ,A              ,P                 ,A                  ,F                       ,                     ,F                   ,R                   ,                       ,R                      ,C                    ,A                   ,F                    ,               ,R                     ,                      ,                   ,from ODP Leg 124 SR Chapter 26 Table 3 p 364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 771,A, 10,R,CC,  21.00,    231.3600,Scherer  ,Radiolarians                                 ,A              ,VP                ,?                  ,?                       ,                     ,                    ,                    ,                       ,                       ,?                    ,?                   ,?                    ,               ,                      ,                      ,                   ,from ODP Leg 124 SR Chapter 26 Table 3 p 364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 771,A, 11,R, 1,  96.00,    232.9600,Scherer  ,Radiolarians                                 ,C              ,P                 ,C                  ,F                       ,                     ,F                   ,                    ,                       ,?                      ,F                    ,F                   ,F                    ,               ,                      ,                      ,                   ,from ODP Leg 124 SR Chapter 26 Table 3 p 364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 771,A, 11,R, 1, 148.00,    233.4800,Scherer  ,Radiolarians                                 ,C              ,P                 ,A                  ,F                       ,?                    ,                    ,                    ,                       ,R                      ,R                    ,C                   ,F                    ,F              ,                      ,                      ,                   ,from ODP Leg 124 SR Chapter 26 Table 3 p 364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 771,A, 11,R, 2,   7.00,    233.5700,Scherer  ,Radiolarians                                 ,A              ,P                 ,A                  ,F                       ,                     ,F                   ,R                   ,R                      ,R                      ,F                    ,R                   ,F                    ,               ,                      ,                      ,                   ,from ODP Leg 124 SR Chapter 26 Table 3 p 364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. costata (RN4)  ,              ,124, 771,A, 11,R, 2,  35.00,    233.8500,Scherer  ,Radiolarians                                 ,A              ,P                 ,A                  ,F                       ,?                    ,F                   ,R                   ,R                      ,F                      ,F                    ,?                   ,                     ,               ,                      ,                      ,                   ,from ODP Leg 124 SR Chapter 26 Table 3 p 364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
