Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Suessia sp.	Suessia listeri	Noricysta? sp.	Dinoflagellate cysts indet.	Acritarchs (undifferentiated)	Rhaetogonyaulax sp.	Shublikodinium spp.	Prasinophyceen (unspecified taxon or taxa)	Comment



  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 11	X	 1	  31.00	     93.5100	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	C             	F                          	A                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 11	X	CC	   9.00	     94.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	+             	+                          	+                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 12	X	 2	  73.00	    104.9300	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	+             	+                          	+                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 20	X	 1	  74.00	    173.9400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	              	                           	+                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 20	X	 2	  73.00	    175.4300	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	              	                           	F                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 20	X	 3	  17.00	    176.3700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	              	                           	+                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 21	X	 1	  78.00	    183.4800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	              	                           	R                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 21	X	CC	  24.00	    184.1400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	              	                           	R                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 22	X	 1	  75.00	    188.6500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	+             	+                          	+                            	+                  	+                  	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

  SR	Norian           	                 	M. crenulatus     	              	122	 760	A	 22	X	 3	  74.00	    191.6400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	           	               	              	                           	F                            	                   	                   	                                          	from ODP Leg 122 SR Chapter 23 p 418-419

