Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tectatodinium sp. III	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium simplex	Tectatodinium pellitum	Spiniferites spp.	Spiniferites sp. "TS"	Spiniferites scabratus	Spiniferites rubinus	Spiniferites pseudofurcatus	Spiniferites elongatus	Spiniferites bentorii	Selenopemphix nephroides	Quinquecuspis spp.	Platycystidia sp. 1	Peridinium faeroense	Pediastrum sp.	Palaeostomocystis spp.	Operculodinium wallii	Operculodinium sp.	Operculodinium longispinigerum	Operculodinium israelianum	Operculodinium echigoense	Operculodinium crassum	Operculodinium centrocarpum	Nematosphaeropsis oblonga	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Melitasphaeridium choanophorum	Lingulodinium machaerophorum	Impletosphaeridium spp.	Impagidinium spp.	Impagidinium sphaericum	Impagidinium pallidum	Impagidinium multiplexum	Hystrichokolpoma sp.	Filisphaera filifera	Dinocyst sp. 1	Cymatiosphaera sp. 1	Cordosphaeridium sp. 1	Brigantedinium sp. group B	Brigantedinium sp. group A	Bitectatodinium tepikiense	Batiacasphaera sphaerica	Amiculosphaera umbracula	Achomosphaera sp. A	Achomosphaera ramulifera	Achomosphaera andalousiensis	?Labyrinthodinium sp. 1	Stelladinium reidii	Selenopemphix cf. sp. B	Polysphaeridium zoharyi	Multispinula minuta	Brigantedinium simplex	Comment



  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	A	  7	H	 1	  18.00	     54.3800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                    	-                   	-                  	                     	-                     	C                	-                    	-                     	-                   	                           	R                     	-                    	-                       	-                 	                   	R                   	-             	                      	                     	                  	                              	-                         	                         	                      	A                          	                         	-                           	-                            	                              	R                           	                       	-                	                       	-                    	-                       	                    	-                   	              	                    	-                     	-                         	-                         	-                         	                        	                        	-                  	-                       	-                           	                       	-                  	-                      	-                      	R                  	-                     	from ODP 104  SR  Chapter 31  Figure 9  p 598

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	A	  7	H	 1	  71.00	     54.9100	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                    	-                   	-                  	                     	-                     	R                	-                    	-                     	-                   	                           	-                     	-                    	-                       	-                 	                   	-                   	-             	                      	                     	                  	                              	-                         	                         	                      	A                          	                         	-                           	R                            	                              	R                           	                       	R                	                       	R                    	-                       	                    	-                   	              	                    	-                     	-                         	-                         	C                         	                        	                        	-                  	-                       	R                           	                       	-                  	-                      	R                      	-                  	-                     	from ODP 104  SR  Chapter 31  Figure 9  p 598

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	A	  7	H	 1	 120.00	     55.4000	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                    	-                   	-                  	                     	-                     	-                	-                    	-                     	-                   	                           	-                     	-                    	-                       	-                 	                   	-                   	-             	                      	                     	                  	                              	-                         	                         	                      	A                          	                         	-                           	-                            	                              	-                           	                       	-                	                       	-                    	-                       	                    	-                   	              	                    	-                     	-                         	-                         	-                         	                        	                        	-                  	-                       	-                           	                       	-                  	-                      	-                      	-                  	-                     	from ODP 104  SR  Chapter 31  Figure 9  p 598

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	A	  7	H	 2	  27.00	     55.9700	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                    	-                   	-                  	                     	-                     	A                	-                    	-                     	-                   	                           	-                     	-                    	-                       	-                 	                   	-                   	-             	                      	                     	                  	                              	-                         	                         	                      	-                          	                         	-                           	-                            	                              	-                           	                       	-                	                       	-                    	-                       	                    	-                   	              	                    	-                     	-                         	-                         	-                         	                        	                        	-                  	-                       	-                           	                       	-                  	-                      	-                      	C                  	-                     	from ODP 104  SR  Chapter 31  Figure 9  p 598
