Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Melonis zaandamae	Epistominella exigua	Cibicidoides pseudoungerianus	Cassidulina subglobosa	Cassidulina laevigata	Cassidulina reniforme	Elphidium excavatum	Eponides umbonatus	Cibicides wuellerstorfi	Bulimina marginata	Bulimina aculeata	Comment



  SR	                 	                 	A1                	              	104	 644	A	  1	H	 3	  75.00	      3.7500	Osterman 	Benthic Foraminifers                         	               	                  	8.8%             	                    	                             	                      	61.7%                	4.4%                 	11.8%              	                  	1.5%                   	                  	                 	other taxa = 8.8%; from ODP 104 SR  Chapter 37  Table 1  p 747-748

  SR	                 	                 	A1                	              	104	 644	A	  1	H	 5	  75.00	      6.7500	Osterman 	Benthic Foraminifers                         	               	                  	49.7%            	                    	                             	                      	41.2%                	.6%                  	1.2%               	3.6%              	                       	                  	                 	other taxa = 3.6%; from ODP 104 SR  Chapter 37  Table 1  p 747-748

  SR	                 	                 	A1                	              	104	 644	A	  1	H	CC	  13.00	      9.1300	Osterman 	Benthic Foraminifers                         	               	                  	1.7%             	                    	                             	                      	50.7%                	3.0%                 	44.8%              	                  	                       	                  	                 	other taxa = 0.7%; from ODP 104 SR  Chapter 37  Table 1  p 747-748

  IR	                 	                 	A1                	              	104	 644	A	  1	H	CC	  21.00	      9.2100	Osterman 	Benthic Foraminifers                         	C              	G                 	57.0%            	                    	                             	+                     	16.0%                	3.0%                 	                   	4.0%              	                       	                  	                 	Other taxa = 20%; Benthic forams = 8%; Presence of reworked taxa from continental shelf; ODP 104 IR  Chapter 6  Table 6  p 632

  SR	                 	                 	A1                	              	104	 644	A	  2	H	 2	  74.00	     11.4400	Goll     	Benthic Foraminifers                         	               	                  	                 	                    	                             	                      	40.9%                	                     	.3%                	.7%               	43.2%                  	                  	                 	other taxa = 1.3%; from ODP 104 SR  Chapter 37  Table 1  p 747-748

  SR	                 	                 	A1                	              	104	 644	A	  2	H	 2	  80.00	     11.5000	Goll     	Benthic Foraminifers                         	               	                  	                 	                    	                             	                      	+                    	                     	+                  	                  	                       	                  	                 	other taxa = 0%; from ODP 104 SR  Chapter 37  Table 1  p 747-748

  SR	                 	                 	A1                	              	104	 644	A	  2	H	 4	  74.00	     14.4400	Osterman 	Benthic Foraminifers                         	               	                  	                 	                    	                             	                      	+                    	                     	+                  	+                 	                       	                  	                 	other taxa = 0%; from ODP 104 SR  Chapter 37  Table 1  p 747-748

  SR	                 	                 	A1                	              	104	 644	A	  3	H	 1	  75.00	     16.9500	Goll     	Benthic Foraminifers                         	               	                  	                 	                    	                             	                      	+                    	                     	                   	                  	                       	                  	                 	other taxa = 0%; from ODP 104 SR  Chapter 37  Table 1  p 747-748

  SR	                 	                 	A1                	              	104	 644	A	  3	H	 3	  75.00	     19.9500	Osterman 	Benthic Foraminifers                         	               	                  	1.0%             	                    	                             	                      	77.5%                	12.7%                	6.4%               	.5%               	                       	                  	                 	other taxa = 2%; from ODP 104 SR  Chapter 37  Table 1  p 747-748

