Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida flexuosa,Globorotalia tumida (right),Globorotalia tumida (left),Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globoquadrina conglomerata,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides conglobatus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina rubescens,Globigerina quinqueloba,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 931,B,  1,H,CC,  74.00,      0.7400,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,-                                    ,F                                    ,F                           ,F                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,F                         ,-                   ,F                    ,-                   ,-                     ,R                         ,C                                ,F                                  ,C                            ,F                           ,R                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR; pp 142-143; Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 931,B,  2,H,CC,  17.00,     10.7500,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,C                                    ,R                           ,R                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,F                                  ,R                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR; pp 142-143; Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 931,B,  3,H,CC,  26.00,     20.4800,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,F                                    ,-                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,R                                  ,R                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR; pp 142-143; Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 931,B,  4,H, 1,   0.00,     19.8000,Showers  ,Planktonic Foraminifers                      ,R              ,P                 ,-                                    ,C                                    ,-                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR; pp 142-143; Table 4
