Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Verrucosisporites spp.	Trilete spores (unspecified taxon or taxa)	Triadispora obscura	Staurosaccites quadrifidus	Samaropollenites speciosus	Monosulcites spp.	Lunatisporites spp.	Enzonalasporites vigens	Deltoidospora spp.	Camerosporis secatus	Bisaccate pollen (unspecified taxon or taxa)	Baltisphaeridium/Veryhachium (unspecified taxon or taxa)	Baculatisporites spp.	Protohaploxypinus spp.	Aratrisporites parvispinosus	Plaesiodictyon mosellanum	Freshwater Algae (undifferentiated)	Camerosporites pseudoverrucatus	Kinutosaccus crenulatus	Foveolatitriletes crassus	Ephedripites spp.	Bartenia communis	Comment



  SR	Norian           	                 	M. crenulatus     	              	122	 759	B	  6	R	 1	  58.00	     41.0800	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	                          	R                         	F                	                   	F                      	F                 	                    	C                                           	F                                                       	F                    	                      	                            	R                        	F                                  	                               	                       	                         	                 	F                	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	  7	R	 1	  72.00	     50.7200	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	                          	                          	F                	                   	R                      	F                 	R                   	C                                           	                                                        	F                    	                      	                            	                         	                                   	                               	                       	                         	R                	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 11	R	 2	  54.00	     90.0200	Brenner  	Pollen/Spores                                	               	                  	                      	+                                         	+                  	                          	+                         	                 	                   	+                      	+                 	                    	+                                           	+                                                       	                     	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 13	R	 2	  79.00	    109.2900	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	F                         	F                	                   	R                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	F                        	F                                  	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 14	R	 1	  54.00	    117.0400	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	R                  	                          	F                         	C                	                   	F                      	F                 	F                   	C                                           	                                                        	F                    	                      	                            	                         	                                   	R                              	                       	                         	R                	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 14	R	 2	 114.00	    119.1400	Brenner  	Pollen/Spores                                	               	                  	                      	                                          	                   	                          	+                         	                 	                   	                       	                  	                    	+                                           	+                                                       	                     	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

