Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina hispidocostata	Sphaeroidina bulloides	Oridorsalis umbonatus	Melonis pompilioides	Bulimina striata	Bulimina aculeata	Tosaia hanzawai	Hoeglundina elegans	Bulimina barbata	Pyrgo murrhina	Pullenia bulloides	Melonis barleeanus	Globocassidulina sp.	Cassidulina sp.	Fissurina sp.	Epistominella exigua	Cibicidoides wuellerstorfi	Cibicidoides sp.	Bolivina pusilla	Globobulimina affinis	Chilostomella oolina	Uvigerina senticosa	Martinottiella spp.	Sigmoilopsis schlumbergeri	Comment



  SR	                 	                 	                  	              	126	 791	A	  4	H	 3	  60.00	     27.1000	Kaiho    	Benthic Foraminifers                         	               	                  	C                       	                      	                     	                    	                	                 	               	                   	                	              	                  	C                 	                    	R              	             	                    	                          	                	                	A                    	A                   	                   	                   	R                         	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	  5	H	 3	  52.00	     36.5200	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	R                     	C                    	                    	R               	                 	R              	C                  	                	C             	F                 	C                 	R                   	C              	F            	                    	                          	                	R               	                     	A                   	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 16	H	 6	  58.00	    147.2800	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                      	C                    	R                   	                	C                	               	                   	                	              	F                 	A                 	R                   	C              	R            	                    	                          	                	F               	R                    	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 16	H	CC	   6.00	    148.5200	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                      	                     	                    	R               	R                	               	                   	                	R             	R                 	A                 	                    	F              	             	R                   	                          	                	                	                     	                    	F                  	R                  	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 18	H	 1	  15.00	    158.6500	Kaiho    	Benthic Foraminifers                         	               	                  	C                       	                      	F                    	                    	                	A                	R              	                   	R               	              	F                 	C                 	F                   	F              	             	                    	R                         	R               	                	R                    	R                   	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 22	H	 6	  66.00	    205.0600	Kaiho    	Benthic Foraminifers                         	               	                  	F                       	                      	A                    	C                   	                	                 	F              	                   	                	C             	F                 	C                 	                    	               	             	F                   	C                         	                	R               	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 25	X	 1	   5.00	    217.1500	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	R                     	C                    	F                   	                	                 	R              	                   	                	R             	F                 	F                 	                    	               	F            	R                   	                          	                	                	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 31	X	CC	   0.00	    274.9000	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                      	A                    	                    	R               	R                	C              	C                  	                	F             	C                 	C                 	                    	               	R            	R                   	C                         	R               	                	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 33	X	 1	   6.00	    294.3600	Kaiho    	Benthic Foraminifers                         	               	                  	F                       	                      	                     	                    	                	C                	               	                   	                	              	                  	                  	F                   	               	             	                    	                          	                	                	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 38	X	CC	   0.00	    342.6000	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	R                     	                     	C                   	F               	A                	R              	C                  	F               	R             	C                 	C                 	F                   	R              	             	                    	                          	                	                	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 39	X	 1	  28.00	    352.5800	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                      	A                    	C                   	R               	C                	C              	A                  	                	F             	F                 	C                 	                    	               	             	                    	                          	                	                	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 40	X	CC	  18.00	    362.3800	Kaiho    	Benthic Foraminifers                         	               	                  	C                       	                      	A                    	F                   	                	C                	F              	C                  	F               	              	                  	                  	                    	               	             	                    	                          	                	                	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 41	X	CC	   4.00	    371.7400	Kaiho    	Benthic Foraminifers                         	               	                  	                        	                      	                     	                    	                	R                	               	                   	                	              	                  	                  	                    	               	             	                    	                          	                	                	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	A	 46	X	CC	  24.00	    419.0400	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	R                     	C                    	C                   	F               	                 	               	                   	                	              	                  	                  	                    	               	             	                    	                          	                	                	                     	                    	                   	                   	                          	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

