Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
111, 677,B,Post Moratorium          ,      16.190,    0.410000,T Stylatractus universus 
,,,,,,
111, 677,B,Post Moratorium          ,      36.180,    0.975000,T Lamprocyrtis neoheteroporos 
,,,,,,
111, 677,B,Post Moratorium          ,      41.690,    1.150000,T Anthocyrtidium angulare 
,,,,,,
111, 677,B,Post Moratorium          ,      45.690,    1.150000,T Theocorythium vetulum 
,,,,,,
111, 677,B,Post Moratorium          ,      51.440,    1.450000,B Lamprocyrtis nigriniae 
,,,,,,
111, 677,B,Post Moratorium          ,      59.190,    1.550000,B Theocorythium trachelium 
,,,,,,
111, 677,B,Post Moratorium          ,      65.190,    1.450000,B Anthocyrtidium angulare
,,,,,,
111, 677,B,Post Moratorium          ,      67.190,    1.550000,T Pterocanium prismatium
,,,,,,
