Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cyclicargolithus floridanus,Calcidiscus leptoporus,Coccolithus pelagicus,Chiasmolithus oamaruensis,Umbilicosphaera sibogae,Dictyococcites scrippsae,Cyclicargolithus abisectus,Calcidiscus macintyrei,Sphenolithus neoabies,Sphenolithus moriformis,Sphenolithus abies,Scyphosphaera spp.,Reticulofenestra pseudoumbilicus,Reticulofenestra haqii,Reticulofenestra gelida,Pseudoemiliania lacunosa,Helicosphaera sellii,Discoaster variabilis,Braarudosphaera bigelowii,Reticulofenestra minutula,Helicosphaera carteri,Dictyococcites antarcticus,Rhabdosphaera clavigera,Reticulofenestra minuta,Small Gephyrocapsa spp.,Pontosphaera japonica,Dictyococcites productus,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Syracosphaera pulchra,Oolithotus fragilis,Gephyrocapsa aperta,Helicosphaera kamptneri,Scapholithus fossilis,Umbellosphaera irregularis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN20              ,NN21          ,182,1132,B,  1,H,CC,   9.00,      6.7500,Ladner   ,Nannofossils                                 ,A              ,M                 ,                           ,F                     ,                     ,                         ,                       ,                        ,                          ,                      ,                     ,                       ,                  ,                  ,                                ,                      ,                       ,                        ,                    ,                     ,                         ,C                        ,                     ,                          ,                       ,                       ,                       ,                     ,                        ,A                        ,                     ,                     ,R                  ,A                  ,F                      ,                     ,R                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN20              ,NN21          ,182,1132,B,  2,H,CC,  12.00,     16.1900,Ladner   ,Nannofossils                                 ,A              ,M                 ,                           ,F                     ,                     ,                         ,                       ,                        ,                          ,                      ,                     ,                       ,                  ,                  ,                                ,                      ,                       ,                        ,                    ,                     ,                         ,A                        ,                     ,A                         ,                       ,                       ,                       ,                     ,                        ,A                        ,                     ,C                    ,                   ,C                  ,                       ,                     ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN20              ,NN21          ,182,1132,B,  3,H,CC,   0.00,     25.2200,Ladner   ,Nannofossils                                 ,A              ,M                 ,                           ,                      ,R                    ,                         ,R                      ,                        ,                          ,                      ,                     ,                       ,                  ,                  ,                                ,                      ,                       ,                        ,                    ,                     ,R                        ,                         ,                     ,C                         ,                       ,                       ,                       ,                     ,                        ,A                        ,                     ,                     ,                   ,C                  ,F                      ,F                    ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN20              ,NN21          ,182,1132,B,  4,H,CC,  35.00,     35.3500,Ladner   ,Nannofossils                                 ,A              ,M                 ,                           ,F                     ,                     ,                         ,                       ,                        ,                          ,                      ,                     ,                       ,                  ,                  ,                                ,                      ,                       ,                        ,                    ,                     ,R                        ,C                        ,                     ,                          ,                       ,                       ,                       ,                     ,                        ,C                        ,                     ,F                    ,                   ,C                  ,                       ,                     ,                          ,       
