Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Micula prinsii,Micula murus,Ceratolithoides kamptneri,Ceratolithoides aculeus,Arkhangelskiella cymbiformis,Ellipsolithus macellus,Cruciplacolithus tenuis,Cruciplacolithus primus,Sphenolithus primus,Heliolithus kleinpellii,Fasciculithus tympaniformis,Zygrhablithus bijugatus,Lophodolithus nascens,Discoaster multiradiatus,Chiasmolithus consuetus,Toweius gammation,Toweius crassus,Sphenolithus radians,Sphenolithus editus,Reticulofenestra dictyoda,Discoaster tanii,Discoaster sublodoensis,Discoaster lodoensis,Discoaster barbadiensis,Cruciplacolithus cribellum,Chiasmolithus grandis,Sphenolithus abies,Reticulofenestra pseudoumbilicus,Discoaster variabilis,Discoaster quinqueramus,Discoaster pentaradiatus,Calcidiscus macintyrei,Amaurolithus spp.,Amaurolithus amplificus,Discoaster surculus,Ceratolithus rugosus,Reticulofenestra minutula,Pseudoemiliania lacunosa,Discoaster tamalis,Discoaster brouweri,Discoaster asymmetricus,Gephyrocapsa (small),Gephyrocapsa large,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN14b         ,198,1212,A,  1,H,CC,  21.00,      4.9100,nannos   ,Nannofossils                                 ,A              ,G                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,                        ,                      ,                 ,                       ,                   ,                    ,                         ,                        ,                  ,                   ,                       ,A                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,CN13b         ,198,1212,A,  2,H,CC,  24.00,     14.7900,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,                        ,                      ,                 ,                       ,                   ,                    ,                         ,C                       ,                  ,                   ,                       ,A                   ,A                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,CN13a         ,198,1212,A,  3,H,CC,  20.00,     24.3400,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,                        ,C                     ,                 ,                       ,                   ,                    ,A                        ,C                       ,                  ,                   ,                       ,C                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN11          ,198,1212,A,  4,H,CC,  26.00,     33.9200,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,C                               ,                     ,                       ,C                       ,C                     ,                 ,                       ,F                  ,R                   ,A                        ,F                       ,R                 ,R                  ,R                      ,                    ,                  ,       
