Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tranolithus phacelosus	Rhagodiscus asper	Rhagodiscus angustus	Prediscosphaera columnata	Hayesites albiensis	Gephyrorhabdus coronadventis	Flabellites oblongus	Eprolithus floralis	Corollithion signum	Chiastozygus platyrhethus	Braarudosphaera stenorhetha	Braarudosphaera africana	Watznaueria britannica	Stoverius achylosus	Eiffellithus turriseiffelii	Cretarhabdus loriei	Cribrosphaerella ehrenbergii	Gartnerago praeobliquum	Nannoconus truitti ssp rectangularis	Braarudosphaera quinquecostata	Nannoconus fragilis	Parhabdolithus achylostaurion	Microstaurus chiastius	Crucicribrum striatum	Radiolithus orbiculatus	Lapideacassis mariae	Rucinolithus irregularis	Radiolithus planus	Nannoconus regularis	Metadoga mercurius	Axopodorhabdus albianus	Gartnerago obliquum	Lithraphidites alatus	Lithraphidites acutum spp. eccentricum	Corollithion kennedyi	Tranolithus exiguus	Prediscosphaera avitus	Gartnerago nanum	Ceratolithoides aculeus	Reinhardtites levis	Quadrum trifidum	Quadrum gothicum	Perchnielsenella stradneri	Lithraphidites praequadratus	Arkhangelskiella cymbiformis	Micula praemurus	Lithraphidites quadratus	Micula murus	Semihololithus priscus	Lithraphidites kennethii	Lithraphidites grossopectinatus	Ceratolithoides kamptneri	Cylindralithus oweinae	Cribrocorona gallica	Pseudomicula quadrata	Micula prinsii	Nephrolithus frequens	Prediscosphaera grandis	Prediscosphaera cretacea	Microrhabdulus decoratus	Biscutum parvulum	Neochiastozygus primitivus	Cyclagelosphaera reinhardtii	Cruciplacolithus tenuis	Cruciplacolithus primus (small)	Cruciplacolithus primus	Chiastozygus ultimus	Prinsius tenuiculum	Prinsius martinii	Prinsius dimorphosus	Neocrepidolithus cruciatus	Chiasmolithus danicus	Neochiastozygus modestus	Neochiastozygus imbriei	Ellipsolithus bollii	Fasciculithus magnus	Chiasmolithus edwardsii	Ellipsolithus macellus	Cruciplacolithus edwardsii	Ericsonia robusta	Octolithus multiplus	Prinsius bisulcus	Thoracosphaera spp.	Placozygus sigmoides	Ericsonia subpertusa	Discoaster barbadiensis	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus gigas	Nannotetrina fulgens	Reticulofenestra umbilica	Chiasmolithus consuetus	Cribrocentrum reticulatum	Bramletteius serraculoides	Lanternithus minutus	Discoaster saipanensis	Comment



  IR	                 	Middle Eocene    	                  	CP14b         	171	1052	E	  1	R	CC	  16.00	    142.1500	Watkins  	Nannofossils                                 	               	                  	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	+                      	                     	+                    	                   	                    	+                        	                       	                         	                          	+                   	+                     	No Ch. solitus

  IR	                 	Middle Eocene    	                  	CP14a         	171	1052	E	  2	R	 1	  53.00	    146.9300	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	+                    	+                    	                   	                    	+                        	                       	+                        	+                         	                    	                      	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1052	E	  2	R	CC	  18.00	    148.1400	Watkins  	Nannofossils                                 	A              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	+                      	+                    	+                    	                   	                    	+                        	+                      	                         	                          	                    	                      	       

  IR	                 	Middle Eocene    	                  	              	171	1052	E	  3	R	 1	  68.00	    156.6800	Watkins  	Nannofossils                                 	A              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	+                      	+                    	+                    	                   	+                   	                         	                       	                         	                          	                    	                      	CP 13c
