Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix spp.	Thalassiothrix longissima	Thalassiosira convexa	Thalassiosira antiqua	Rhizosolenia barboi	Hemidiscus cuneiformis	Coscinodiscus marginatus	Neodenticula kamtschatica	Stephanopyxis turris	Neodenticula seminae	Nitzschia marina	Neodenticula cf. N. koizumii	Thalassiosira spp.	Thalassiosira nativa	Thalassiosira eccentrica	Nitzschia reinholdii	Coscinodiscus radiatus	Actinocyclus curvatulus	Paralia sulcata	Cocconeis californica	Denticulopsis hustedtii	Actinocyclus ingens	Stephanopyxis schenckii	Sponge spicules	Simonseniella curvirostris	Denticulopsis hyalina	Actinoptychus senarius	Thalassionema nitzschioides	Diatom fragments (girdle bands)	Diatom fragments	Actinocyclus tsugaruensis	Comment



  IR	Quaternary       	                 	NPD 12            	              	167	1016	D	  1	H	CC	  10.00	      7.9400	Maruyama 	Diatoms                                      	R              	P                 	                   	                         	                     	                     	                   	                      	                        	                         	                    	F                   	                	                            	                  	                    	                        	                    	                      	                       	F              	                     	                       	                   	                       	               	                          	                     	                      	                           	                               	                	T                        	from IR. Ch 10. Table 7.

  IR	Quaternary       	                 	NPD 12            	              	167	1016	D	  2	H	CC	  15.00	     17.8500	Maruyama 	Diatoms                                      	T              	P                 	                   	                         	                     	                     	                   	                      	                        	                         	                    	                    	                	                            	                  	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	                          	T                    	                      	                           	R                              	R               	                         	from IR. Ch 10. Table 7.

  IR	Quaternary       	                 	NPD 12            	              	167	1016	D	  3	H	CC	  24.00	     26.3600	Maruyama 	Diatoms                                      	T              	P                 	                   	                         	                     	                     	                   	                      	                        	                         	                    	T                   	                	                            	                  	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	                          	                     	                      	T                          	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Quaternary       	                 	NPD 11            	              	167	1016	D	  4	H	CC	  25.00	     36.9400	Maruyama 	Diatoms                                      	F              	P/M               	                   	C                        	T                    	                     	F                  	                      	R                       	                         	T                   	C                   	                	                            	R                 	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	T                         	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Quaternary       	                 	NPD 11            	              	167	1016	D	  5	H	CC	  30.00	     45.8200	Maruyama 	Diatoms                                      	F              	P                 	                   	                         	                     	                     	F                  	                      	                        	                         	F                   	F                   	F               	                            	                  	                    	                        	F                   	                      	                       	               	                     	                       	                   	                       	               	                          	T                    	T                     	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Quaternary       	                 	NPD 11            	              	167	1016	D	  6	H	CC	  30.00	     55.7700	Maruyama 	Diatoms                                      	F              	P                 	                   	T                        	                     	                     	T                  	                      	                        	                         	                    	F                   	                	                            	                  	                    	                        	                    	T                     	                       	               	                     	                       	                   	                       	F              	T                         	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

