Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sibogae	Umbellosphaera irregularis	Thoracosphaera spp.	Syracosphaera pulchra	Scapholithus fossilis	Rhabdosphaera spp.	Reticulofenestra asanoi	Pseudoemiliania lacunosa	Helicosphaera spp.	Helicosphaera inversa	Gephyrocapsa sp. (small)	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Emiliania huxleyi	Discolithina spp.	Coccolithus pelagicus	Calcidiscus leptoporus	Comment



  SR	                 	                 	                  	              	126	 791	A	  2	H	CC	   0.00	     14.2100	Firth    	Nannofossils                                 	A              	G                 	5                      	2                         	0                  	2                    	1                    	5                 	0                      	0                       	6                 	0                    	10                      	58                   	18                       	178              	0                	0                    	14                    	Total count = 299; from ODP Leg 126 SR Chapter 16 Table 3 p 241

  SR	                 	                 	                  	              	126	 791	A	  4	H	CC	  14.00	     30.7200	Firth    	Nannofossils                                 	A              	G                 	7                      	8                         	0                  	6                    	0                    	3                 	0                      	1                       	3                 	0                    	5                       	59                   	18                       	175              	0                	0                    	11                    	Total count = 296; from ODP Leg 126 SR Chapter 16 Table 3 p 241

  SR	                 	                 	                  	              	126	 791	A	  6	H	CC	  11.00	     45.2800	Firth    	Nannofossils                                 	A              	G                 	6                      	5                         	0                  	1                    	1                    	0                 	0                      	0                       	6                 	0                    	10                      	53                   	16                       	190              	1                	0                    	10                    	Total count = 298; from ODP Leg 126 SR Chapter 16 Table 3 p 241

  SR	                 	                 	                  	              	126	 791	A	  8	H	CC	  13.00	     71.3100	Firth    	Nannofossils                                 	A              	G                 	3                      	0                         	0                  	0                    	0                    	1                 	0                      	0                       	4                 	0                    	2                       	42                   	11                       	226              	0                	0                    	11                    	Total count = 300; from ODP Leg 126 SR Chapter 16 Table 3 p 241

  SR	                 	                 	                  	              	126	 791	A	 10	H	CC	   8.00	     89.8300	Firth    	Nannofossils                                 	C              	G                 	5                      	4                         	0                  	1                    	1                    	3                 	0                      	0                       	7                 	0                    	15                      	77                   	28                       	144              	3                	0                    	9                     	Total count = 297; from ODP Leg 126 SR Chapter 16 Table 3 p 241

  SR	                 	                 	                  	              	126	 791	A	 13	H	CC	  11.00	    119.0800	Firth    	Nannofossils                                 	A              	G                 	6                      	1                         	0                  	0                    	0                    	2                 	0                      	0                       	8                 	0                    	3                       	54                   	11                       	204              	1                	0                    	10                    	Total count = 300; from ODP Leg 126 SR Chapter 16 Table 3 p 241

  SR	                 	                 	                  	              	126	 791	A	 15	H	CC	  17.00	    138.3500	Firth    	Nannofossils                                 	A              	G                 	4                      	0                         	1                  	0                    	1                    	3                 	0                      	0                       	3                 	0                    	1                       	81                   	11                       	185              	3                	0                    	7                     	Total count = 300; from ODP Leg 126 SR Chapter 16 Table 3 p 241

