Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella planispira	Globotruncana ventricosa	Globotruncana arca	Globotruncanella petaloidea	Heterohelix semicostata	Planoglobulina acervulinoides	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Heterohelix dentata	Globotruncana rugosa	Abathomphalus mayaroensis	Rosita walfischensis	Gublerina acuta	Globotruncanella pschadae	Globotruncana rosetta	Planorotalites imitatus	Morozovella albeari	Morozovella kolchidica	Planorotalites planoconicus	Morozovella pseudobulloides	Subbotina triangularis	Truncorotaloides rohri	Pseudohastigerina naguewichiensis	Chiloguembelina midwayensis	Turborotalia increbescens	Subbotina angiporoides	Globigerina ampliapertura	Globigerina gortanii	Globigerina ouachitaensis	Tenuitella postcretacea	Tenuitella munda	Globigerina ciperoensis	Clavatorella sp. aff. C. nicobarensis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia menardii	Globorotalia crassaformis	Globoquadrina hexagona	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina rubescens	Globigerina falconensis	Globigerina calida	Globigerina bulloides	Globorotalia truncatulinoides (dex.)	Globorotalia scitula	Globorotalia hirsuta	Globigerina digitata	P-D intergrade	Neogloboquadrina pachyderma (dex.)	Globorotalia inflata	Globorotalia truncatulinoides (sin.)	Comment



  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	   1.00	      0.0100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.9%                      	9.6%                        	.9%              	16.1%                     	.7%                	7.8%                 	                         	1.1%                  	4.7%                      	                        	15.2%                     	21.9%                	4.3%                       	4.0%                   	5.4%                         	                     	                       	1.1%              	5.8%                 	                                    	                    	                    	                    	.5%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  11.00	      0.1100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	7.8%                        	.6%              	10.5%                     	                   	3.7%                 	                         	2.5%                  	3.7%                      	.4%                     	15.9%                     	32.2%                	2.5%                       	8.5%                   	4.1%                         	                     	                       	1.9%              	5.0%                 	                                    	.2%                 	                    	.4%                 	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  21.00	      0.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	7.2%                        	.8%              	14.8%                     	                   	3.0%                 	.2%                      	2.0%                  	1.9%                      	.2%                     	10.6%                     	35.2%                	.3%                        	12.0%                  	3.0%                         	                     	.2%                    	1.4%              	6.6%                 	                                    	.5%                 	.3%                 	                    	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  31.00	      0.3100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	8.3%                        	.1%              	8.0%                      	.1%                	3.2%                 	                         	3.4%                  	.7%                       	1.7%                    	8.3%                      	35.5%                	.7%                        	16.8%                  	4.5%                         	                     	.1%                    	1.7%              	6.2%                 	                                    	.6%                 	                    	.1%                 	.1%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
