Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra asanoi	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Emiliania huxleyi	Crenalithus doronicoides	Coccolithus pelagicus	Calcidiscus macintyrei	Emiliania huxleyi acme	Comment



  IR	                 	Pleistocene      	                  	NN21B         	175	1075	A	  1	H	CC	  49.00	      1.4700	Giraudeau	Nannofossils                                 	A              	M                 	-                      	                        	-                   	-                        	A                    	F                        	D                	-                       	-                    	-                     	+                     	Nannos very abundant

  IR	                 	                 	                  	              	175	1075	A	  2	H	 4	   1.00	      6.0100	Giraudeau	Nannofossils                                 	               	                  	-                      	                        	-                   	F                        	A                    	A                        	D                	-                       	-                    	-                     	+                     	       

  IR	                 	Pleistocene      	                  	NN21B         	175	1075	A	  2	H	 6	   1.00	      9.0100	Giraudeau	Nannofossils                                 	C              	M                 	-                      	                        	-                   	C                        	A                    	A                        	D                	-                       	-                    	-                     	+                     	       

  IR	                 	Pleistocene      	                  	NN21B         	175	1075	A	  2	H	CC	  11.00	     11.2300	Giraudeau	Nannofossils                                 	A              	P                 	-                      	                        	-                   	C                        	C                    	C                        	D                	-                       	-                    	+                     	+                     	Nannos very abundant

  IR	                 	Pleistocene      	NN21A             	NN21B         	175	1075	A	  3	H	 5	 138.00	     18.3800	Giraudeau	Nannofossils                                 	C              	P                 	-                      	                        	-                   	F                        	C                    	C                        	C                	-                       	-                    	-                     	                      	NN21A/B boundary

  IR	                 	Pleistocene      	                  	NN21A         	175	1075	A	  3	H	CC	  16.00	     20.9100	Giraudeau	Nannofossils                                 	A              	M                 	-                      	                        	-                   	A                        	F                    	C                        	C                	-                       	-                    	-                     	                      	       

  IR	                 	Pleistocene      	                  	NN21A         	175	1075	A	  4	H	 2	 138.00	     23.3800	Giraudeau	Nannofossils                                 	C              	P                 	-                      	                        	-                   	D                        	R                    	C                        	C                	-                       	-                    	-                     	                      	       

  IR	                 	Pleistocene      	                  	NN21A         	175	1075	A	  5	H	 4	   1.00	     34.5100	Giraudeau	Nannofossils                                 	A              	M                 	-                      	                        	-                   	D                        	C                    	C                        	A                	-                       	-                    	-                     	                      	       

  IR	                 	Pleistocene      	                  	NN21A         	175	1075	A	  5	H	 5	  67.00	     36.6700	Giraudeau	Nannofossils                                 	A              	G                 	-                      	                        	-                   	D                        	C                    	A                        	C                	-                       	-                    	-                     	                      	Nannos very abundant

  IR	                 	Pleistocene      	                  	NN21A         	175	1075	A	  5	H	 6	   1.00	     37.5100	Giraudeau	Nannofossils                                 	A              	M                 	-                      	                        	-                   	D                        	F                    	C                        	A                	-                       	-                    	-                     	                      	       

  IR	                 	Pleistocene      	                  	NN21A         	175	1075	A	  5	H	CC	  16.00	     39.9500	Giraudeau	Nannofossils                                 	C              	P                 	-                      	                        	-                   	A                        	C                    	C                        	C                	-                       	-                    	-                     	                      	       

