Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies,Reticulofenestra sp. (small),Reticulofenestra pseudoumbilicus,Cyclococcolithus leptoporus,Coccolithus pelagicus,Helicosphaera carteri,Cyclococcolithus macintyrei,Helicosphaera sellii,Gephyrocapsa oceanica,Gephyrocapsa aperta,Rhabdosphaera sp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN21              ,              ,112, 679,D,  1,H,CC,  10.00,      7.8000,Martini  ,Nannofossils                                 ,               ,M/G               ,                  ,                            ,                                ,R                          ,                     ,F                    ,                           ,                    ,C                    ,C                  ,R                ,F                ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN20              ,              ,112, 679,D,  2,H, 6,  89.00,     16.2900,Martini  ,Nannofossils                                 ,               ,M                 ,                  ,                            ,                                ,                           ,R                    ,                     ,                           ,                    ,R                    ,R                  ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN20              ,              ,112, 679,D,  2,H,CC,  20.00,     17.3000,Martini  ,Nannofossils                                 ,               ,M                 ,                  ,                            ,                                ,                           ,R                    ,                     ,                           ,                    ,R                    ,R                  ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,              ,112, 679,D,  3,H, 4,  34.00,     22.2400,Martini  ,Nannofossils                                 ,               ,M/G               ,                  ,                            ,                                ,R                          ,F                    ,                     ,R                          ,R                   ,                     ,F                  ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,              ,112, 679,D,  3,H,CC,   8.00,     26.8800,Martini  ,Nannofossils                                 ,               ,M                 ,                  ,                            ,                                ,R                          ,R                    ,                     ,R                          ,                    ,R                    ,                   ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,              ,112, 679,D,  4,H, 3, 109.00,     30.9900,Martini  ,Nannofossils                                 ,               ,M                 ,                  ,                            ,                                ,                           ,F                    ,                     ,                           ,                    ,R                    ,R                  ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,              ,112, 679,D,  4,H,CC,  15.00,     36.2300,Martini  ,Nannofossils                                 ,               ,M/G               ,                  ,                            ,                                ,                           ,F                    ,                     ,                           ,                    ,                     ,                   ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
