Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix frauenfeldii,Melosira granulata,Ethmodiscus rex,Diploneis weissflogi,Cyclotella stylorum,Thalassionema nitzschioides  var. parva,Synedra ulna,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassiosira leptopus,Thalassionema nitzschioides,Rhizosolenia praebergonii var. robusta,Paralia sulcata,Nitzschia marina,Epithemia turgida,Epithemia adnata var. proboscioidea,Diploneis sp. aff. Diploneis praestes,Coscinodiscus symbolophorus,Coscinodiscus lineatus var. ellipticus,Chaetoceros furcatus,Azpeitia nodulifer,Azpeitia africana,Actinoptychus senarius,Actinocyclus ellipticus f. lanceolata,Actinocyclus ehrenbergii var. tenella,Roperia tesselata,Grammatophora undulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,B,  1,H, 3,   4.00,      3.0400,Kaczmarska,Diatoms                                      ,               ,                  ,+                          ,                  ,               ,                    ,+                  ,+                                      ,            ,+                        ,+                      ,                      ,+                          ,                                      ,               ,                ,                 ,                                   ,                                     ,                           ,                                      ,                    ,                  ,                 ,+                     ,                                     ,                                     ,+                ,+                     ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,B,  1,H, 3,  50.00,      3.5000,Kaczmarska,Diatoms                                      ,               ,                  ,+                          ,                  ,               ,                    ,                   ,+                                      ,            ,                         ,                       ,                      ,+                          ,                                      ,               ,                ,                 ,                                   ,                                     ,                           ,                                      ,                    ,                  ,                 ,                      ,                                     ,                                     ,                 ,                      ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,B,  1,H,CC,   0.00,      3.8900,Kaczmarska,Diatoms                                      ,               ,                  ,+                          ,                  ,+              ,                    ,+                  ,+                                      ,            ,+                        ,+                      ,+                     ,+                          ,+                                     ,+              ,+               ,+                ,+                                  ,+                                    ,+                          ,+                                     ,+                   ,+                 ,+                ,+                     ,+                                    ,+                                    ,                 ,                      ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,B,  2,H, 1,  38.00,      4.3800,Kaczmarska,Diatoms                                      ,               ,                  ,                           ,                  ,               ,                    ,+                  ,+                                      ,+           ,                         ,                       ,                      ,                           ,                                      ,               ,                ,                 ,                                   ,                                     ,                           ,                                      ,                    ,                  ,                 ,                      ,                                     ,                                     ,                 ,                      ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,B,  2,H, 3,  66.00,      7.6600,Kaczmarska,Diatoms                                      ,               ,                  ,+                          ,+                 ,+              ,+                   ,+                  ,                                       ,            ,                         ,                       ,                      ,                           ,                                      ,               ,                ,                 ,                                   ,                                     ,                           ,                                      ,                    ,                  ,                 ,                      ,                                     ,                                     ,                 ,                      ,from ODP Leg 116 SR Chapter 19 Table 1 p 240-241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
