Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus?	Reticulofenestra productella	Reticulofenestra minutula	Reticulofenestra minuta	Pseudoemiliania lacunosa	Coccolithus pelagicus	Calcidiscus leptoporus	Calcidiscus macintyrei	Reticulofenestra perplexa	Comment



  IR	Late Pliocene    	                 	                  	              	168	1027	C	  1	R	 6	  92.00	    591.8200	Su       	Nannofossils                                 	F              	M-G               	                                 	C                           	C                        	A                      	F                       	                     	                      	                      	                         	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Late Pliocene    	                 	                  	              	168	1027	C	  2	R	 1	  13.00	    594.5300	Su       	Nannofossils                                 	R              	M-G               	                                 	A                           	F                        	C                      	R                       	R                    	                      	                      	                         	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Late Pliocene    	                 	                  	              	168	1027	C	  2	R	 3	  80.00	    597.2600	Su       	Nannofossils                                 	T              	M-G               	                                 	A                           	F                        	C                      	T                       	T                    	                      	                      	                         	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Late Pliocene    	                 	                  	              	168	1027	C	  2	R	 5	  32.00	    599.7800	Su       	Nannofossils                                 	R              	M                 	                                 	A                           	R                        	C                      	T                       	R                    	                      	                      	R                        	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Late Pliocene    	                 	                  	              	168	1027	C	  2	R	 7	 150.00	    603.9600	Su       	Nannofossils                                 	C              	M                 	                                 	A                           	R                        	C                      	F                       	R                    	F                     	F                     	                         	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Late Pliocene    	                 	                  	              	168	1027	C	  3	R	 1	  80.00	    604.9000	Su       	Nannofossils                                 	F              	M                 	                                 	A                           	R                        	C                      	R                       	F                    	                      	                      	                         	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Late Pliocene    	                 	                  	              	168	1027	C	  3	R	 2	 106.00	    606.1600	Su       	Nannofossils                                 	C              	M                 	                                 	F                           	C                        	A                      	F                       	F                    	F                     	                      	                         	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Late Pliocene    	                 	                  	              	168	1027	C	  4	R	 1	   7.00	    613.7700	Su       	Nannofossils                                 	F              	M                 	R                                	R                           	R                        	A                      	R                       	C                    	R                     	                      	                         	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

