Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongaster tetras,Stylatractus (unspecified taxon or taxa),Eucyrtidium (unspecified taxon or taxa),Didymocyrtis tetrathalamus,Botryostrobus auritus/australis,Amphirhopalum ypsilon,Stylodictya validispina,Theocorythium trachelium dianae,Stylochlamidium asteriscus,Lamprocyclas maritalis maritalis,Hexacontium enthacanthum,Lithopera bacca,Carpocanistrum (unspecified taxon or taxa),Comment
  SR,                 ,                 ,                  ,              ,126, 790,B,  7,H,CC,  17.00,     61.1700,Aitchison,Radiolarians                                 ,C              ,G                 ,                 ,                                        ,F                                      ,                          ,F                              ,F                    ,F                      ,F                              ,R                         ,F                               ,                        ,R              ,                                          ,from ODP Leg 126 SR Chapter 21 Table 3 p 323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B,  8,H, 3, 103.00,     65.6300,Aitchison,Radiolarians                                 ,C              ,G                 ,R                ,R                                       ,F                                      ,R                         ,F                              ,F                    ,                       ,R                              ,R                         ,F                               ,R                       ,               ,                                          ,from ODP Leg 126 SR Chapter 21 Table 3 p 323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B,  8,H,CC,   8.00,     71.2100,Aitchison,Radiolarians                                 ,F              ,G                 ,                 ,                                        ,                                       ,                          ,                               ,                     ,R                      ,                               ,                          ,                                ,                        ,               ,                                          ,from ODP Leg 126 SR Chapter 21 Table 3 p 323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B,  9,H,CC,  11.00,     75.4300,Aitchison,Radiolarians                                 ,R              ,G                 ,R                ,                                        ,                                       ,                          ,                               ,                     ,                       ,                               ,                          ,                                ,                        ,               ,                                          ,from ODP Leg 126 SR Chapter 21 Table 3 p 323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B, 10,H,CC,  24.00,     90.2400,Aitchison,Radiolarians                                 ,C              ,G                 ,R                ,R                                       ,F                                      ,F                         ,F                              ,F                    ,                       ,                               ,                          ,                                ,                        ,               ,                                          ,from ODP Leg 126 SR Chapter 21 Table 3 p 323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B, 11,H,CC,  11.00,     99.8100,Aitchison,Radiolarians                                 ,R              ,G                 ,R                ,                                        ,                                       ,                          ,                               ,                     ,                       ,                               ,                          ,                                ,                        ,               ,                                          ,from ODP Leg 126 SR Chapter 21 Table 3 p 323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,B, 15,X,CC,   8.00,    130.0800,Aitchison,Radiolarians                                 ,R              ,G                 ,R                ,                                        ,                                       ,                          ,                               ,                     ,                       ,                               ,                          ,                                ,                        ,               ,                                          ,from ODP Leg 126 SR Chapter 21 Table 3 p 323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
