Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa sp.,Gephyrocapsa (small),Emiliania pujosae,Emiliania huxleyi,Coccolithus pelagicus,Calcidiscus leptoporus,Gephyrocapsa Group 4,Gephyrocapsa Group 1,Gephyrocapsa Group 2,Gephyrocapsa Group 3,Coccolithus streckerii,Coccolithus crassipons,Pontosphaera sp.,Reticulofenestra sp.,Pontosphaera japonica,Braarudosphaera bigelowii,Syracosphaera pulchra,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21B             ,              ,139, 858,C,  1,H, 1,   0.00,      0.0000,Mao      ,Nannofossils                                 ,C              ,P                 ,                ,C                   ,R                ,R                ,R                    ,F                     ,                    ,                    ,                    ,                    ,                      ,                      ,                ,                    ,                     ,                         ,R                    ,from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 858,C,  1,H, 1,  66.00,      0.6600,Mao      ,Nannofossils                                 ,F              ,M                 ,                ,                    ,                 ,F                ,R                    ,                      ,R                   ,F                   ,                    ,                    ,                      ,                      ,                ,                    ,                     ,                         ,                     ,from ODP Leg 139 SR; Chapter 5; Table 10; p. 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 858,C,  1,H, 2,  52.00,      2.0200,Mao      ,Nannofossils                                 ,C              ,M                 ,                ,                    ,                 ,C                ,C                    ,                      ,R                   ,C                   ,                    ,                    ,F                     ,R                     ,                ,                    ,R                    ,R                        ,                     ,from ODP Leg 139 SR; Chapter 5; Table 10; p. 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 858,C,  1,H, 3,  25.00,      3.2500,Mao      ,Nannofossils                                 ,A              ,M                 ,                ,                    ,                 ,C                ,C                    ,                      ,F                   ,C                   ,                    ,                    ,R                     ,                      ,                ,R                   ,F                    ,                         ,                     ,from ODP Leg 139 SR; Chapter 5; Table 10; p. 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21B             ,              ,139, 858,C,  1,H,CC,  12.00,      3.4800,Mao      ,Nannofossils                                 ,C              ,P                 ,                ,C                   ,R                ,C                ,C                    ,                      ,                    ,                    ,                    ,                    ,                      ,                      ,R               ,                    ,                     ,                         ,                     ,from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
