Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Gephyrocapsa Group 2	Gephyrocapsa Group 1	Coccolithus pelagicus	Gephyrocapsa oceanica	Emiliania huxleyi	Syracosphaera sp.	Coccolithus crassipons	Crenalithus doronicoides	Pontosphaera sp.	Coccolithus streckerii	Gephyrocapsa Group 4	Emiliania pujosae	Calcidiscus leptoporus	Braarudosphaera bigelowii	Pontosphaera japonica	Syracosphaera pulchra	Gephyrocapsa caribbeanica	Gephyrocapsa Group 3	Helicosphaera carteri	Reticulofenestra sp.	Umbilicosphaera mirabilis	Thoracosphaera sp.	Gephyrocapsa sp.	Umbellosphaera tenuis	Rhabdosphaera clavigera	Comment



  IR	Late Pleistocene 	Holocene         	NN21B             	              	139	 857	A	  1	H	 1	   0.00	      1.9000	Mao      	Nannofossils                                 	C              	M                 	F                   	C                   	C                    	C                    	C                	                 	F                     	                        	                	R                     	R                   	R                	R                     	R                        	C                    	R                    	R                        	                    	                     	                    	R                        	R                 	                	                     	R                      	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Holocene         	                 	NN21B             	              	139	 857	A	  1	H	 2	  30.00	      3.7000	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	C                    	                     	C                	                 	F                     	                        	                	R                     	R                   	                 	                      	                         	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21B             	              	139	 857	A	  1	H	 3	  10.00	      5.0000	Mao      	Nannofossils                                 	A              	M                 	                    	                    	C                    	A                    	C                	                 	                      	                        	                	                      	                    	R                	                      	                         	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  1	H	 3	  29.00	      5.1900	Mao      	Nannofossils                                 	A              	M                 	                    	C                   	C                    	                     	C                	                 	F                     	                        	                	R                     	R                   	F                	                      	                         	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  1	H	 4	  30.00	      6.7000	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	C                    	                     	C                	                 	R                     	                        	R               	R                     	R                   	R                	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  1	H	 5	  40.00	      8.3000	Mao      	Nannofossils                                 	C              	M                 	                    	F                   	F                    	                     	F                	                 	F                     	                        	                	                      	                    	R                	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

